美国联合航空公司员工致小狗死亡,如果你无法忍受悲伤的事故，请立即停止阅读，因为这一次的事故同样令人伤心，甚至会让你再也不会坐美国联合航空公司的飞机。  今日目击者拉拉说，美联航乘务员坚持要求另一名乘客将她的狗放在从休斯顿飞往拉瓜迪亚的航班上的架空箱中。事实上这只狗是通过美国运输安全管理局tsa认可携带的狗，并且美国的政策明确规定，在这些情况下，狗应存放在乘客面前的座位下的。但是美联航乘务员坚持要求乘客将10个月大的法国斗牛犬放入头顶的垃圾箱，但没有解释为什么，并向乘客保证狗会没事的。 无奈的是当飞机降落时，狗的主人发现她的狗一动不动，主人试图给狗做人工呼吸但是没起作用，其实狗早已经死亡。狗主人劳拉后来在Facebook上详细描述了这一事表示强烈抗议  目前该航空公司正在退还家庭门票的钱，并已提出支付尸检以确定狗的死因。基于顶部车厢内气流不足以及法国斗牛犬有呼吸问题的倾向，可能性最大的一个原因似乎是窒息。 这不是在联合航班上死亡的第一只狗。美国联合航空去年的航班动物死亡人数比任何其他美国航空公司都多， 据统计去年在联合航班上共有18只动物死于货运。该公司还存在着种族歧视、服务特别恶劣等的问题，能把口碑做的这么差的航空公司确实不多见。 一休知识产权认为：如果我们要从这次最新的悲剧中吸取教训，那么很简单。一，永远不要把你的宠物放在架空垃圾箱里。二，永远不要乘坐美联航的飞机。
"推主给柴犬买了50只玩偶后...堪称现实版""大家来找茬""",日本一博主养了2只柴柴，名叫kenta和nonta。某日，该博主突发奇想——要是买几十只柴犬玩偶回家，会和两只柴柴擦出什么样的火花呢？于是... ...  那就一起来看一下这场火花吧... ~▼  嗯?? 能找到我俩吗~   1·2·3 列队！  柴柴号——准备出发  突然劈叉！    列车员，列车员在哪儿呢？ kenta现在8岁、nonta为3岁，虽然年龄相差有些大，但它们的性格非常合得来~难得的是，它俩都非常喜欢玩偶（不会乱咬喔）！每次该po主要为它俩和玩偶们拍照时，配合度也超高。   发... ...发条柴柴   贪吃蛇？哦不... 贪吃柴...  这些照片一被上传到网上，就引来无数网友围观点赞！大家纷纷表示，瞬间就被治愈啦！    网友纷纷评论说：简直就是现实版的“大家来找茬”啊~以下，你能找到kenta和nonta吗？ ▼▼▼       —————————————————————— 2018年全国巡回讲座报名详细咨询 ：http://www.coach-event.com/?url=ZMT 微博@行知学园日本
这只金毛成精了，居然会教小主人用工具拿书包,金毛的智商在狗界排名第四，如果成年后相当于人类的6-7岁小孩，这可是相当聪明，当然，边牧的智商更高，成年后也相当于人类7-8岁小孩，据国外一个专家统计，边牧如果训练好的话，可以听懂人类一千多个单词，由于智商太高，它有时候也会认为自己是人，再加上全家人的宠爱，它就有了很多人性化的表现。  所以说，如果对狗狗们说悄悄话的时候，它们也有可能听得懂哦，然后把你的悄悄话，说给自己的狗朋友，一传十，十传百，百传千，天呐，附近的狗狗都知道了你的一些羞羞事！  今天这只金毛也是非常聪明的，可以说比它的小主人还要聪明，小主人的书包挂在很高的地方，小主人跳了很久，想把书包给拿下来，可是个子太矮，够不到，可小主人还是坚持不懈在那跳着。  最后金毛实在是看不下去了，就去沙发上找了一根棍子，把棍子给小主人，小主人这才想到可以利用工具把书包给拿下来。  也不知道小主人心里会不会惭愧啊，竟然都想不到这个办法，金毛趴在墙上，貌似在指导小主人如何用棍子，好像在说，用棍子捅这里，捅到这里就能把书包给拿下来了。  小主人就照做，一下子就把书包给弄了下来。  这只金毛的智商绝对是在小孩七八岁左右，会用工具，能听懂主人各种命令，也有自己的主观想法，小编想想，如果在经历几千年以后，狗狗们的智商会不会进化到成人那样啊， 收容所里每天都会有大量狗妈生下宝宝，为什么不用领养代替购买呢？  非常多因为各种原因被年轻人抛弃，等这样的狗，它们经常在流浪中就已怀孕，在收容所里生下了健康的孩子。但每天要消耗大量狗粮，公益机构经费少，无法容纳更多的孩子，只能选择送走。如果真的喜欢它们，爱护它们，就给它们温暖的家，请通过下面的方式联系我们，用领养代替购买。不填个人信息，无任何费用（没押金，邮费等），公益机构谨防恶意攻击。也请从这里成为幸运领养人的朋友回复一下，免去大家的误解！！！ 联系方式微信公众号：宠物帝国（长按复制）然后回复：领养
平时洗澡40这次100也不行了，主人：它根本没意识到问题的严重性,讲真，对吃货狗子来说，一看不到它有可能就给你把放好的东西吃了！放东西的时候觉得狗子这次肯定是拿不到这个东西了，可是就一转身，或者拿个东西的功夫，放好的东西就没了！如果这些东西是狗子能吃的还好，万一是不能吃的，那就麻烦了。如果狗子偷吃，弄得干净点还行，就怕那种不仅没弄干净，还弄得到处都是的狗子！不消说，又得破费一笔给它洗澡剪毛！ 最近有个网友，真的就是一转身的功夫，回头就看到狗子在那里吃它自己偷偷找到的火龙果！！！现场稍微有点不忍睹啊！  狗子吃着吃着，可能是察觉到了主人的杀气，于是抬起头来，悄悄的撇了一眼主人！发现主人已经是怒火三丈高了！空气突然的安静！  这狗平时去洗澡40就行了，这次怎么得也得100吧！！！关键是100能洗好么？不过你这忧郁的小眼神是什么意思？嗯？  略显呆萌！！！！不过这一身颜色，啧啧，绝了！
这只猫特别怕洗澡，紧抱奴才不撒手，这一脸委屈的小表情也是...,这只猫特别怕洗澡 紧抱奴才不撒手   这一脸委屈的小表情也是很萌了  这样抓的时候背上真的超痛 别问我咋知道的  太可怜了，后背一定很痛 好想帮揉揉
哈士奇被困老家三层水泥房的夹层里，谁有办法让它下来？,网友住的房子是自己盖的独门独户， 一共三层楼高，他家还有一条哈士奇... 没成想，这货居然自己上天了！ 这天网友家的哈士奇不见了， 找了半天，终于找到这货了...  看吧，它在这里！ 这还是一只狗能做出的事情吗？？？ 并且，它还一副得意洋洋的表情！  不是说好的狗狗会恐高吗？ 你....怎么没事？？？  这可真难为铲屎的了... 这地方，我也上不去，你好像也下不来啊？？？  二哈：你不是老说让我上天吗？
看见地上有只会动的纸箱，黑狗的反应差点让铲屎官笑翻...,美国多地遭遇暴风雪的消息，相信很多人都听说了 飓风，降雪不仅阻碍了公共交通，还给人们的生活造成了诸多不便...  可就是在这样的“鬼天气”下，有铲屎官却找到了乐子！ 这天晚上，他带着狗砸出门遛弯。外面白茫茫的一片，窝在家好几天的小家伙别提有多兴奋了 各种旋转，跳跃...但就在这时，远处的一个东西吸引了它的注意  是一个路边的空纸箱。 狗砸平时就爱拆箱子，一看到这眼睛都移不动了，可就在它准备跑上去叼回来时 忽然飘来一阵余风，结果“诡异”的一幕发生了！  看到纸箱自己动了起来，小家伙明显有些看愣了  然而下一秒...“铲屎的你快看，这纸箱成精了！”  结果，狗砸跑到哪纸箱“追”到哪，到半路小家伙可能是跑不动了... “为什么追我，我又不是急支糖浆！”  眼看纸箱怪没了动静，狗砸暗自窃喜。然后，脚底像抹了油似的急忙开溜...  “保命要紧，溜了溜了！”  看到这一幕，主人在旁边都快笑疯了。没想到平时天不怕地不怕的它，也有认怂的时候...
养狗的姑娘都是女汉子？不，明明是一群小仙女啊！,在狗狗们的眼中，那些长的很可爱还超疼爱自己的小姐姐们，可不就是小仙女本仙嘛： 她们知道该如何温柔的表达爱意，会在你最需要安全感的时候抱紧你...  这不是仙女是什么？感觉自己太幸福了，给仙女麻麻一个爱的抱抱！  在我的一生中，这个小仙女变成了大仙女，但她却对我的爱却丝毫没变...  感觉自己上辈子拯救了银河系，才拥有了这么个仙女似的的铲屎官！  更重要的是，跟小仙女在一起的自己，最后也都能变成小仙汪啊...  自己也要萌萌哒的，才配得仙女给铲屎啦！  所以，谁要说养狗的姑娘是女汉子，汪们都不答应了，铲屎官那么美那么暖，肯定是小仙女啦！ 小仙女浑身都散发着善良有爱的气味...  小仙女的小仙女魔力也是非常强大的...  小仙女就连动作都是那么的温柔呢...  当然，即使是小仙女，也有过不去的坎...  主人主人，你的仙女力呢~  小仙女本仙：为了狗子也得拼尽全力啊！  而且不少狗狗在女主人和男主人之间，都会勇敢果断的更偏爱女主人！ 被小仙女似的女主人搂着睡觉，本来是件很开心的事，可偏偏有个不识趣的老是...  你走开行不行，能不能不要打扰我和小仙女的约会！  你自己啥样没点自知之明，还敢下嘴？太过分了啊！
今生一定要养一只这样的狗狗，瞬间就能把人萌出一脸血！,今生一定要养一只这样的狗狗，瞬间就能把人萌出一脸血！绝对是治愈系的小神兽。 <<小金毛>>    <<大金毛>>    小金毛在雪地里玩的多欢啊，好想融入进去！          即使是平日里随便一个小动作，也可以萌得你一脸血！          我已经不行了，你们也来感受一下～
短腿柯基搞笑集锦！,短腿柯基搞笑集锦！
