金鳞小龙惊现沟中，摆头扭长尾似无脚被当怪物,▲看似无脚、全身还有着金属色鳞片的「小龙」，在微博引起热议。 近日微博和微信群9月19日开始疯狂流传两段影片，只见一条全身金属色鳞片像是「小龙」，在水盆不时游动，似乎没有脚一样，它的头部还左右摆动，一会在水里、一会则露出水面。据了解，这只奇妙动物是贵州思南县一名男子所发现，他表示当初是由朋友从水沟中抓上来的，但因不知道是什么生物，便一直放在家中。 这两段各10秒钟左右的短影片流出后，让不少网友看到画面中的生物，都惊呼「怪物！」但也有不少人认为其正是「穿山甲」。 据《楚天都市报》报道指出，在将画面咨询了有关的动物学专家，华中农业大学博物馆姜昊馆长表示，「可以确定的是，这是一只亚成体穿山甲，通俗地说就是未成年穿山甲。不过仅仅通过视频，无法确定它是什么品种。」  ▲长尾穿山甲。 时常为网友解惑生物相关问题的微博帐号「博物杂志」在20日发文表示，「这是生活在西非和中非的『长尾穿山甲（学名：Phataginus tetradactyla）』，与中国的穿山甲不同属；中国人已经把亚洲4种穿山甲快吃灭绝了，现在开始大量走私非洲的4种穿山甲。非法走私进来的，有关部门应该严查。」 长尾穿山甲分布在西非和中非的湿润森林地带，体长30至40公分，是尾巴最长的穿山甲，约为身体长的两倍。影片中看似无脚，但应为影片角度，长尾穿山甲确实是有脚的；且它是树栖动物，长长的尾巴适合缠绕在树干上，不像影片躺在水盆中，并非生活在水里。不过原本应该在非洲的长尾穿山甲，又怎么会出现在中国大陆野外？
地震时，家里的荷兰猪是酱紫的……,（猪眼看世界第7期） 8月8日晚上，九寨沟发生了7.0级地震。截至目前，九寨沟地震已造成24人死亡，493人受伤。这是一个沉痛的消息，祝愿逝者安息，愿生者坚强，早日从地震阴影中站起来。  这场地震让我想起了08年的512汶川大地震。当时的我还在家乡读书，睡完午觉回到教室，刚坐上座位。桌椅就一阵摇晃，而且越晃越快，越晃越厉害。 刚开始我还以为是前桌的哥们抖腿摇到我的桌子，可正当我要发飙的时候，就发现大家都惊慌的往外跑，有人喊地震了。我才反应过来，猛然站起来一下就被摇的头晕眼花，还好当时同桌一把把我拉出去的。 当时的我很没出息的哭的稀里哗啦，以为就要和这个世界永别了。还好，只是有惊无险。此后连续几天都是余震不断，每天早晨，睁开眼睛的那一刻，第一反应就是我还活着，真好！  时隔九年，辗转几个城市，回到家乡，再次经历这个场景，依然心有余悸。当时我在收拾东西，没有任何感觉，小豚突然冲到我面前说地震了。我还以为他在逗我，当看到房间挂着的衣服在晃荡，我这才信了他的话。  听到楼道里有人奔走的声音，我和小豚也随之出了门。这次也是有惊无险，我的第一反应是不远的地方肯定有一场大地震，恐慌占据了整个心灵。当得知自己的亲人都安然无恙才稍稍平息了一下心情。 这次的晃动比9年前要小很多，在外面喂了一会儿蚊子，我和小豚就回屋里了。进屋看到家里两只小猪，我才发现，刚才竟然把他俩给忘了。心里不免有点过意不去，危难时刻怎么就光想到自己了啦？我这个主人还是那么失职啊。  看到平时爱叫的翠花，此时还很安静的呆在笼子里吧唧吧唧的吃着东西，二胖更是安逸的躺在笼子里呼呼大睡。从下午到晚上，他们竟然一点异常反应都没有。  说好的地震之前老鼠乱窜啦？说好的行为异常啦？  当时是越想越郁闷，危险都来临了，这两货竟然还一副平常心。这心也太大了吧……  “养猪千日，用在一时”。关键时刻掉链子，好吃好喝的把你们供养这么大，地震前竟然一点征兆都没有。  小豚这时慢悠悠的说：“刚才看你脸色煞白才跟你一起下楼的，我就知道没事呀！因为我的猪猪都没有反应，那肯定是没大事的。” 呵，你这个马后炮倒是对你家的猪猪挺自信的啊。  而经过这事小贝也恶补了一下地震前动物的异常反应知识。 首先来说小动物作为地震“活仪器”，他的灵敏度是有限。一般在5级以上的地震才会有明显的异常表现，而5级以下的地震只有很少部分动物会有异常表现。  其次，地震“活仪器”是有一定范围的，像这次九寨沟的7.0级地震其震源中心方圆100~200公里之内，动物会有明显的异常行为。而具体的异常表现也就是：狗吠蛇出洞，鱼跃鸟离巣；家畜不归圈，老鼠大搬家。  而震后小贝在微信后台了解到，那天汪星人和吱星人没任何异常表现，唯有喵星人多数表现的烦躁不安。在此仅代表宠鼠之家给喵星人们作出口头表扬并颁发小红花。  话说回来，西安离九寨沟有六百多公里。虽然是7.0级地震，但猪猪没反应也还算是正常。小贝不做褒贬，健康快乐生活就好。你有没有听过或经历过通过判断动物异常行为预测灾难的事情，说来听听。    关注同名公号，了解更多精彩内容哦~
金花松鼠认主人吗，金花松鼠价格。,金花松鼠是松鼠中体型比较小的，从小人工驯养的金花松鼠是比较亲人的。记主是从小开始养，成年后的金花松鼠也只有手掌大。外形小巧玲珑。背部有五条花纹，又叫 五道眉花鼠。下面介绍下金花松鼠价格，了解下金花松鼠的习性，以及从小养起来的金花松鼠认主人吗？  金花松鼠价格，新手必知。 金花松鼠价格根据季节变化，每年二月份到四月份，是价格最高的时候。价格稳定在150左右，因为是头窝幼鼠，所以价格偏高。五月份到八月份金花松鼠大量出货价格在五十到八十之间，这里说的是幼崽的价格，成年的价格在三十到五十左右。九月往后价格回升，金花松鼠数量减少，大部分松鼠进入冬眠。以上就是全年金花松鼠的价格，季节不同价位是不一样的，每年如此。  从小饲养起来的的金花松鼠认主人吗？ 金花松鼠三十天以下的是奶鼠，这个时间段需要喂奶，如果从奶鼠开始养你需要有足够的耐心。三十天到45天的金花松鼠是刚好合格的，是个时间段的松鼠有独立能力，不需要喂奶，也与主人亲近，新手饲养最佳合适。六十天以上的金花松鼠就有脾气了，需要一点一点的磨合。从小饲养起来的松鼠都是亲人的，平时可以多与他们互动，体验养宠乐趣。  从小饲养起来的金花松鼠是亲人的，但是主人要与它多互动，毕竟他没有狗狗的智商，可能一周不喂他就不认识你了。所以要多亲近，多互动。以上解答了金花松鼠价格以及从小饲养金花松鼠的注意事项，想训练出听话认人的金花松鼠，一定要多点耐心。  微信qcss166
蜜待鼯会咬人吗？蜜待鼯怎么训练才会听话。,"如今蜜待鼯越来越流行，养蜜袋鼯的玩家也随之增多。你不养只小蜜似乎就说明你out了！可这并不表示只要你养蜜袋鼯就一定会养好。因为就算你每天陪小蜜玩耍，或是给他们买了好多玩具，但是一些你不曾注意到的小细节或者坏习惯，可能彻底改变你家小蜜的命运！下面给大家讲下当到家的蜜待鼯应该如何训练，怎样才会训练的小蜜不咬人。  蜜袋鼯长长的尾巴主要用来滑翔跳跃时的平衡作用，当被人抓住尾巴时无法掌握平衡，使蜜袋鼯有危机感，惊吓到小蜜容易使小蜜拉稀，一般商家和小朋友容易出现这样的现象。  蜜待鼯怎么训练蜜待鼯不咬人、 如何训练出亲人的蜜待鼯：请一定不要太心急,让蜜宝宝熟悉你的过程是个阶段性的过程，大概一个月甚至几个月的时间,千万不要因为“都一个周过去啦怎么还和我不亲”之类的而放弃甚至弃养，那样实在太可惜了。当然，有些是看鼠的性格,性格好会快一些,甚至有第二天就上手的.不过只要记住,只要表现出你爱它就会慢慢感化的.还有，有些人买了那种手养蜜或者因为个体差异，拿来就很亲，不要看到有些人的蜜拿来就亲人之类的就厌弃自己的宝宝，你和他相遇就是缘分，它也是个生命而且它的生命里只有你的存在，请你善待它。  如果小蜜真的很害怕，可以第一天暂时让它休息，第二天进行这个握着的训练。笼子呢在刚来的头一个周，可以选用稍微小一些的，大概40-60cm高就可以（注意是刚来的时候的高度，不是以后一直这个高度哈），这样好抓好控制。放在比较平常的地方，不用特别安静，也不要太吵了。适合它生长的就可以。也可以放在床头柜，你做你的事情，让它感觉到你，不会伤害她。  许多玩家都是从小蜜头顶罩住小蜜抓起，这种情况使小蜜被迫转移，虽然目前没有明显不好的特征，但会导致小蜜永远都是被动上身，而不是自己主动到主人身上，正确应该是从小蜜下方伸手抄起小蜜，减少精神压力。 蜜袋鼯不是啮齿动物，不像鼠类需要磨牙或剪牙，小蜜牙齿不会持续增长，剪牙后牙齿也不会再长，会导致蜜袋鼯进食困难，厌食等现象，严重的会影响蜜袋鼯寿命。  如果想养小蜜，请先学习饲养知识，了解饲养环境跟小蜜的生活习性，了解蜜待鼯的优点跟缺点，如果你不接受蜜待鼯的缺点，那么就慎重一点，因为蜜待鼯一生只忍一个主人，请认真对待他，如果带它回家，就请养他终老。"
金花松鼠会咬人吗，金花松鼠怎么训练。新手必知,"如何训练出听话乖巧的金花松鼠，不让松鼠咬人。本文总结了一下金花松鼠的训练方法以及金花松鼠的饲养习性。希望可以帮助新手朋友。  金花松鼠松鼠会咬人吗？ 人工从小养起来的金花松鼠是不咬人，他们已经从小适应了这种家庭饲养的环境，从小养起来，他们喜欢跟人互动。 如果说从年龄六十天以上的金花松鼠开始养的话，松鼠可能会咬人的，这时候他们已经有自己独立的性格，不适应新家的环境，会有所警示。这时候我们就应该静养，等适应环境后再去跟他互动，千万不要心急去抓他，咬一口可是贼拉拉的爽。  金花松鼠怎么训练。 性格特别顽固的，需要饿肚子，饿上个1~3天，就给水喝，然后再亲自喂他吃东西，（千万别放出笼子，隔着笼子喂。）先用食物引他过来，不要马上给，拿着食物从左右到移动让他跟着你的手跑动，移动个3,4次就差不多了，然后再给他吃，食物一定要自己捏着，不要放掉让松鼠抢走了，吃的时候手摸摸它，这里建议用苹果或者牛奶。  松鼠似乎都以壳斗科植物的种子为食，但在大自然中也会食用相当多的昆虫，因此最好也喂食些动物性的食物。 胡桃、栗子等坚果是松鼠的最爱，咬开坚硬的外壳，对松鼠不但是游戏，也可以帮忙磨耗牙齿。最好经常喂食这类食物。  如果以人工饲料为主食，还应另外补充苹果等食物。以上详解介绍了金花松鼠的训练方法以及解答了金花松鼠会不会咬人的问题，只要方法得当应可以训练出听话的鼠宝。 微信qcss166"
魔王松鼠与金花松鼠的区别，金花松鼠能长多大？,金花松鼠跟魔王松鼠是两个不同的品种，它俩体态，外貌不一。生活习性，饲养方法相差无异。松鼠是杂事五谷杂粮都吃。幼崽期间喂苹果面包，奶。大了之后喂坚果瓜子类。下面介绍下魔王松鼠跟金花松鼠的区别。金花松鼠能长多大？  松鼠非常活泼，特别喜欢爬树，活动空间较为立体，应尽量选用宽广而高的笼子。 由于松鼠习惯在树上筑巢，应将巢箱安装在笼子的高处。巢箱可选用小鸟用而出入口在高处的巢箱代替。 松鼠的动作非常迅速，开关门时要注意，避免趁隙逃走。万一逃出时，若突然用力抓住，要避免被松鼠咬伤。  魔王松鼠跟金花松鼠的区别，详细解答。 首先魔王松鼠跟金花松鼠外形不一、魔王体型较大，金花松鼠较小。魔王松鼠又叫灰狗子背部发灰黑色，金花松鼠又叫五道花鼠背部有几道刚，很容易辨别。 第二就是魔王松鼠不会冬眠金花松鼠冬天会冬眠。说小金花冬眠，也会三四天爬出来吃点东西的，并不是一直睡。冬眠的时候最后不要去打扰他，不然会不长肉的。 第三同样是松鼠从小养大魔王松鼠会比金花松鼠亲人好多。  金花松鼠能长多大？ 金花鼠尾巴长度接近于体长。皮毛质量好而美观。金花鼠的两颊内有两个富于弹性的袋子--颊袋。颊袋大得可以装进多达七个橡子，就像随身带着一个饭盒一样，它们可以把食物存在颊袋里，饿了，就拿出来吃一顿。 金花松鼠体型大约十五公分，体型很小，又叫指尖小宠。  以上介绍了金花松鼠的习性，魔王松鼠与金花松鼠的区别，金花松鼠能长多大？希望可以帮助到更多的新手朋友。 微信qcss166
最霸气的宠物：如有雷同，纯属巧合,Tippi Hedren（黛碧·海倫）是好萊塢的一名女演員，因出演電影《鳥（Birds）》而走紅。  在早些年，Tippi Hedren和家人蔘加一次非洲旅行，意外收養了一頭小獅子，並且為它取名Neil。而這頭小獅子也隨著時間逐漸長大，最後成為了Tippi Hedren最霸氣的寵物。  它不僅住進了Tippi Hedren的家裡，一起生活玩耍，還一起睡覺。  然而在Tippi Hedren拍攝有關獅子的電影《咆哮山莊》中，這部電影的拍攝並不順利，據說當時劇組一共有150頭獅子，70多人受傷，而Tippi Hedren的女兒也被咬縫了50針。  雖然電影最後以失敗告終，而Tippi Hedren的女兒也因此毀容，但Tippi Hedren卻仍把這頭獅子留在家中飼養。  Tippi Hedren說：「其實我非常責怪自己，沒有照顧好Neil的情緒與我女兒的安全，才導致這樣的悲劇發生。Neil喜歡安靜，偶爾玩耍的時候也會像個孩子一樣，它的性格就像我女兒，所以我不忍心責怪它，因為它也是我的家人。」
主人给猫头鹰开空调降温，结果猫头鹰的反应太逗了,猫头鹰应该算是鹰类中最温柔的一种动物了吧，因为有很多人就把猫头鹰当成宠物。 要不说为什么又人把猫头鹰当成宠物，一定是又原因的。因为这货实在太逗了。 首先，外表憨厚老实，天生一幅智慧的样子，就像汪涵似的。 其次，脾气也挺温和，只要你不去攻击猫头鹰，它就不会攻击你。 而且在遇到让自己的舒服的时候，猫头鹰还展示出萌得一面，快把人萌出血。 就比如下面这一只，冬天的时候，主人把猫头鹰放到了户外晒太阳。大家都知道猫头鹰是昼伏夜出的动物，见了太阳之后不知道为什么，居然还很高兴，高兴地像是融化了。  眯着眼睛，身体舒服的融化下去了，就跟10年的老烟民10天不抽烟，终于抽到一根，陶醉的像神仙。 呀~50块钱的中华就是抽得爽快。  彻底软趴趴下去了，舒服的不成鹰样！成何体统呢，这是！！  除了晒太阳，但凡是让它感到舒服的事情，都会激发它软糯糯的身体。 就比如说冬天到了，天气冷的要命，猫头鹰匍匐在地上，尽量把身体缩成一团，以减少热量的损失。都说寒冷使人保持危机感，猫头鹰的眼睛睁得老圆老圆的，十分精神。  直到主人开了暖气之后，猫头鹰舒服的大展双翼，趴在地面上，舒服的像一个7岁的小胖友。  这只汪涵就很懒，是猫头鹰中的懒老汉，喜欢待在床铺上，做爱做的事情。就算现在是三伏天，也要待在软绵绵的床铺上面，请问你不怕热吗？  直到主人开了空调之后，猫头鹰舒服的玉体酥软，接着又躺下去了。酥服的快要融化了  还闭上了小眼睛，脑子里面都是梦，梦中是大森林，是漫山遍野的老鼠兔子，密密麻麻都在跑，猫头鹰坐落枝头，望着他们在流口水。
药药药，切克闹,猫 熊 图文 / 真君 来源 / iPanda熊猫频道 奶爸奶爸，我们今天吃什么呀？ 药，药，药 切克闹！  奶爸干嘛捏人家的猪嘴巴  看在奶爸的大长腿的份上我就从了  奶爸不要这么粗鲁，人家羞羞  “小火腿”快来宝座喂本王  我摇头晃脑就是不要吃  奶爸我们抱抱吧  熊孩子太调皮，奶爸身手真好  每天要多喝水，多尿尿，尿到沟里起泡泡  奶爸喂小团子们吃的其实是对它们身体 有帮助的营养液 虽然小团子们不太喜欢 （估计是味道不太好吧） 但是奶爸还是无比有耐心地给小团子们吃下 咱们为奶爸点赞吧！
路上偶遇遛猴男子，这遛猴姿势有点厉害，悟空你还好吗,世界之大无奇不有，随着时代的发展，各种新鲜事物展现在我们眼前，就比如说这几天刚出来的iphone8、iphoneX的功能那么强大，放在以前，根本想象不到，那时候能够触屏的手机都是很牛掰了。 随着人们生活质量的提高，所养的宠物也是千变万化，有养猫养狗的，也有养乌龟蜥蜴的，更有鳄鱼蛇类的。 不过，能带出去溜达的似乎也就猫猫狗狗？  错了！今天一位粉丝给兽医小明发了一张图，让兽医小明大吃一惊！ 哈哈哈，你们看见了吗？这不只是遛猴，因为这猴都快要起飞了！看，就是在车主的手臂上，那只小巧可爱的猴子~  最近流行养猴子了？据兽医小明的了解，这种宠物猴，大多是来自日本的袖珍石猴，它的最大体型不会超过大可乐瓶，娇小可爱的模样特别受宠物爱好者的喜爱。  厦门貌似有许多买卖这种石猴的，似乎是3000元左右一只！  还记得那张风靡一时的，猴与“猴王”的合照吗？没错，就是猴与六小龄童演绎的“猴王”合照。 听说当时，这只猴子就坐在石墩上，静静地看着六小龄童，一点也不怕生。后来居然站立起来，向“猴王”敬了一个礼，六小龄童随即回礼，就这样弥足珍贵的一刻被记录了下来，这真正是大自然动物对人类的充分信任。  至于我们现在所圈养的宠物猴，兽医小明想说的是，在我国养猴子是要证书的，虽然它们很可爱，但是也有一定的攻击性！  所以兽医小明希望想饲养的小伙伴，能够三思而后行。
