习近平要求各级党委：抓发展、抓稳定两手都要硬,中共中央总书记、国家主席、中央军委主席习近平近日就政法工作作出重要指示，对党的十八大以来政法战线取得的成绩给予充分肯定，对新时代政法工作提出明确要求。习近平指出，党的十八大以来，政法战线认真贯彻党中央决策部署，坚持一手抓当前、一手谋长远，为维护改革发展稳定大局作出了重要贡献。习近平强调，希望全国政法战线深入学习贯彻党的十九大精神，强化“四个意识”，坚持党对政法工作的绝对领导，坚持以人民为中心的发展思想，增强工作预见性、主动性，深化司法体制改革，推进平安中国、法治中国建设，加强过硬队伍建设，深化智能化建设，严格执法、公正司法，履行好维护国家政治安全、确保社会大局稳定、促进社会公平正义、保障人民安居乐业的主要任务，努力创造安全的政治环境、稳定的社会环境、公正的法治环境、优质的服务环境，增强人民群众获得感、幸福感、安全感。习近平要求，各级党委要坚持抓发展、抓稳定两手都要硬，选好配强政法机关领导班子，支持政法各单位依法履行职责，积极研究解决制约政法工作的体制机制问题，为做好新时代政法工作提供有力保障。中央政法工作会议22日在北京召开。中共中央政治局委员、中央政法委书记郭声琨在会上传达习近平重要指示并讲话。会议强调，全国政法机关要高举习近平新时代中国特色社会主义思想伟大旗帜，深入学习贯彻党的十九大和中央经济工作会议精神，增强“四个意识”，坚定“四个自信”，坚持“三个一以贯之”，坚持党对政法工作的绝对领导，坚持以人民为中心的发展思想，坚持稳中求进工作总基调，紧紧围绕打好三大攻坚战，以加强人权司法保障、产权司法保护为切入点，以防控好各类风险为着力点，以全面深化改革、现代科技应用为动力，深入推进平安中国、法治中国和过硬队伍、智能化建设。紧扣新时代新使命，适应新矛盾新要求，推动新时代政法工作有新气象新作为，确保国家政治安全和社会大局稳定的局面进一步巩固，服务和保障经济社会发展大局的能力进一步提高，维护社会公平正义的水平进一步提升，人民群众获得感、幸福感、安全感进一步增强。2014年1月7日，习近平在中央政法工作会议上重要讲话的部分回顾：政法战线要旗帜鲜明坚持党的领导。坚持党的领导，就是要支持人民当家作主，实施好依法治国这个党领导人民治理国家的基本方略。既要坚持党对政法工作的领导不动摇，又要加强和改善党对政法工作的领导，不断提高党领导政法工作能力和水平。要正确处理党的政策和国家法律的关系。我们党的政策和国家法律都是人民根本意志的反映，在本质上是一致的。党既领导人民制定宪法法律，也领导人民执行宪法法律，做到党领导立法、保证执法、带头守法。政法工作要自觉维护党的政策和国家法律的权威性，确保党的政策和国家法律得到统一正确实施。要正确处理坚持党的领导和确保司法机关依法独立公正行使职权的关系。维护社会大局稳定是政法工作的基本任务。要处理好维稳和维权的关系，要把群众合理合法的利益诉求解决好，完善对维护群众切身利益具有重大作用的制度，强化法律在化解矛盾中的权威地位，使群众由衷感到权益受到了公平对待、利益得到了有效维护。要处理好活力和秩序的关系，坚持系统治理、依法治理、综合治理、源头治理，发动全社会一起来做好维护社会稳定工作。促进社会公平正义是政法工作的核心价值追求。从一定意义上说，公平正义是政法工作的生命线，司法机关是维护社会公平正义的最后一道防线。政法战线要肩扛公正天平、手持正义之剑，以实际行动维护社会公平正义，让人民群众切实感受到公平正义就在身边。要重点解决好损害群众权益的突出问题，决不允许对群众的报警求助置之不理，决不允许让普通群众打不起官司，决不允许滥用权力侵犯群众合法权益，决不允许执法犯法造成冤假错案。保障人民安居乐业是政法工作的根本目标。政法机关和广大干警要把人民群众的事当作自己的事，把人民群众的小事当作自己的大事，从让人民群众满意的事情做起，从人民群众不满意的问题改起，为人民群众安居乐业提供有力法律保障。（原题为《习近平要求各级党委：抓发展、抓稳定两手都要硬》）
习近平就《形式主义、官僚主义新表现值得警惕》文章作出指示,新华社北京12月11日消息，中共中央总书记、国家主席、中央军委主席习近平近日作出重要指示强调，纠正“四风”不能止步，作风建设永远在路上。习近平是就新华社一篇《形式主义、官僚主义新表现值得警惕》的文章作出指示的。他指出，文章反映的情况，看似新表现，实则老问题，再次表明“四风”问题具有顽固性反复性。纠正“四风”不能止步，作风建设永远在路上。各地区各部门都要摆摆表现，找找差距，抓住主要矛盾，特别要针对表态多调门高、行动少落实差等突出问题，拿出过硬措施，扎扎实实地改。各级领导干部要带头转变作风，身体力行，以上率下，形成“头雁效应”。在即将开展的“不忘初心、牢记使命”主题教育中，要力戒形式主义，以好的作风确保好的效果。新华社的文章反映，党的十八大以来，从制定和执行中央八项规定开始，全党上下纠正“四风”取得重大成效，但形式主义、官僚主义在一定程度上仍然存在，如：一些领导干部调研走过场、搞形式主义，调研现场成了“秀场”；一些单位“门好进、脸好看”，就是“事难办”；一些地方注重打造领导“可视范围”内的项目工程，“不怕群众不满意，就怕领导不注意”；有的地方层层重复开会，用会议落实会议；部分地区写材料、制文件机械照抄，出台制度决策“依葫芦画瓢”；一些干部办事拖沓敷衍、懒政庸政怠政，把责任往上推；一些地方不重实效重包装，把精力放在“材料美化”上，搞“材料出政绩”；有的领导干部热衷于将责任下移，“履责”变“推责”；有的干部知情不报、听之任之，态度漠然；有的干部说一套做一套、台上台下两个样。12月9日，中共中央办公厅印发通知指出，习近平总书记的这一重要指示，一针见血、切中时弊，内涵丰富、要求明确，充分表明了以习近平同志为核心的党中央坚定不移全面从严治党、持之以恒正风肃纪的鲜明态度和坚定决心，对于全党深入学习贯彻党的十九大精神、加强党的作风建设具有重要指导意义。通知要求，各地区各部门要迅速传达学习并切实抓好贯彻落实。要认真组织党员、干部学习讨论习近平总书记的重要指示，结合深入学习贯彻党的十九大精神和习近平新时代中国特色社会主义思想，深刻领会指示的内容和精神实质，牢固树立“四个意识”，不断提高政治站位和政治自觉，以永远在路上的坚韧锲而不舍抓好作风建设；各地区各部门年底召开民主生活会和组织生活会，要把贯彻落实中央八项规定精神、转作风改作风情况作为对照检查的重要内容，切实按照习近平总书记的重要指示要求，认真查找“四风”突出问题特别是形式主义、官僚主义的新表现，采取过硬措施，坚决加以整改，务求取得实效；要坚持从各级领导干部做起，以上率下、层层带动，继续紧盯元旦、春节等时间节点，从一件件小事抓起，坚决防止不良风气反弹回潮，不断巩固和拓展落实中央八项规定精神的成果。（原题为《习近平近日作出重要指示强调，纠正“四风”不能止步，作风建设永远在路上》）
习近平向全国人民拜年：只有奋斗的人生才称得上幸福的人生,2月14日，腊月二十九，除夕前一天，习近平给全国各族人民拜年了——在2018年春节团拜会上，中共中央总书记、国家主席、中央军委主席习近平发表重要讲话，代表党中央、国务院，向全国各族人民，向香港特别行政区同胞、澳门特别行政区同胞、台湾同胞和海外侨胞拜年。在讲话中，习近平对于“奋斗”有很多新论述，他说，“只有奋斗的人生才称得上幸福的人生；奋斗者是精神最为富足的人，也是最懂得幸福、最享受幸福的人；新时代是奋斗者的时代。”央视新闻梳理了习近平总书记此次在春节团拜会讲话的“十大金句”，新鲜出炉，一起学起来。（原题为《习近平向全国人民拜年：只有奋斗的人生才称得上幸福的人生》）
一件让习总书记挂心的“小事”,央视网消息，“小康不小康，厕所算一桩”。早在2015年4月1日，习近平总书记就曾对“厕所革命”作出重要指示。近日，习近平总书记再次就旅游系统推进“厕所革命”工作取得的成效作出重要指示。三年两次重要指示，推动了全国各地真抓实干，不断改善厕所环境，努力补齐影响群众生活品质的短板。眼下，海南三亚正是旅游旺季，蜈支洲岛每天游客入园量就有近万人，很多常来这里过冬度假的游客发现，这里厕所变漂亮、变大了，一个厕所就可以容纳上百人同时如厕。百姓眼里的这桩小事，却是总书记心中一直装着的一件大事。2015年，国家旅游局做过一次调研，按照国内旅游一趟每人上8次厕所，当年所有游客如厕次数超过270亿次。厕所“脏、乱、差、少、偏”是群众和游客反映最强烈的问题。2015年，国家旅游局提出：“旅游要发展，厕所要革命”，从广大游客反映最强烈的厕所问题抓起。随后的4月1号，习近平总书记做出批示 “厕所革命从小处着眼，从实处入手，这是提升旅游品质的务实之举。”自2015年起，中央投入19亿，地方配套200亿，在全国范围内启动三年旅游厕所建设和管理行动。截至今年10月底，全国共新改建旅游厕所6.8万座，超额完成任务，“如厕文明”成为一张“中国新名片”。《今日意大利》不久前发表一篇报道，很震惊中国厕所革命取得的成绩，报道说“在甘肃的戈壁沙漠，竟然看到了可以无线上网的厕所，太不可思议了!”正在变化的不仅在全国的景区，更在广大的农村。以前，“两块砖，一个坑，蛆蝇孳生臭哄哄”的农村旱厕就是老百姓最头疼的难题之一。2015年7月16日，习近平总书记在吉林省延边州调研时曾指出：新农村建设也要来个“厕所革命”，让农村群众用上卫生的厕所。如今，延边当地政府通过“改善农村旱厕方案”，家家户户有了清洁卫生的室内卫生间，并且还带动了乡村旅游的发展。习总书记在最新批示中指出，把“厕所革命”作为乡村振兴战略的一项具体工作来推进，努力补齐这块影响群众生活品质的短板。目前，全国旅游厕所建设管理新三年行动计划已提上日程，今天上午在湖北黄石，国家旅游局给各省市旅游部门下达2018年厕所建设任务书。（原题为《一件让习总书记挂心的“小事”》）
视频｜跟着总书记笃行中国梦,央视网消息，2012年11月29日，在国家博物馆参观“复兴之路”展览时，习近平首次提出中国梦的概念。五年来，全国各族人民砥砺奋进，无数中国梦实践者脚踏实地书写出一篇篇精彩的中国故事。走进新时代，迈向新征程，开启新篇章，需要汇聚众力，需要撸起袖子加油干的务实打拼，更需要“众人拾柴火焰高”的共识。新时代的实践者，满怀豪情再出发！实干苦干成就梦想，奋勇担当肩头责任，脚踏实地打拼未来、扎扎实实辛勤工作。（原题为《跟着总书记笃行中国梦》）
习近平总书记关于“中国梦”的金句,“中国梦”提出五周年啦！五年前，习近平总书记在国家博物馆参观《复兴之路》展览时，向世界宣示“中国梦”。五年来，习总书记在不同场合多次深刻阐释中国梦的内涵。党的十九大报告13次提到中国梦。奋进新时代，开启新征程，我们的中国梦正在一步步变为现实！（原题为《习近平总书记关于“中国梦”的金句》）
习近平的金砖时间开启，都有哪些重磅安排,央视新闻微信公号9月3日消息，今天开始进入金砖时间。金砖国家领导人厦门会晤将于9月3日至5日在福建省厦门市举行。目前，包括南非总统祖马、巴西总统特梅尔、几内亚总统阿尔法·孔戴等多国领导人已经抵达厦门。今天下午3点30分，金砖国家工商论坛开幕式将在厦门国际会展中心举行。国家主席习近平将出席开幕式并发表主旨演讲。央视新闻新媒体将进行现场直播。作为金砖国家领导人厦门会晤的重要配套活动，习近平将出席论坛开幕式并发表主旨演讲，各界十分期待。2017年金砖国家工商论坛组委会主任姜增伟：“目前中方外方各占一半，金砖五国参会代表比较均衡。同时，世界500强中有80家企业参加这次会议。”姜增伟表示，本届工商论坛有多方面成果值得期待：一是增强工商界互利合作的信心。多国领导人出席论坛开幕式、发表重要演讲或参与专题讨论，将为各国工商界，特别是金砖国家工商界共同推动世界贸易和投资的合作指明方向。二是进一步加强金砖国家间的交流合作。参会企业来自不同行业领域、处在不同发展阶段，具有很强的优势互补性。通过交流合作可以找到新的潜在合作伙伴，达成新的合作意向。三是提出供政府参考的有价值政策建议。本次论坛有望在贸易投资、金融合作、互联互通和发展蓝色经济等方面，产生针对性强、可行性较强的建议，对推动金砖国家经贸大市场、金融大流通、基础设施大联通释放出积极信号。此次习近平主席的厦门“金砖时间”是如何安排的？各方对此次会晤又有怎样的期许？来了解一下。昨天，金砖国家领导人厦门会晤新闻中心正式启用。新闻中心位于厦门国际会议展览中心一层，设有媒体专用工作区、演播室区、公共服务区等，为境内外媒体提供公共信号传输、新闻传送、互联网接入等服务。配备有电脑、打印机和音视频口的媒体公共工作区，可供700人同时使用。新闻中心的300多名志愿者，为媒体提供近十种语言翻译和信息咨询。媒体记者可以从新闻中心第一时间获取会晤的相关信息。新闻中心还设置了大、中、小三个新闻发布厅，供中外代表团第一时间向媒体发布信息。此次会晤将有怎样的成果？来自海内外的记者们充满期待。中国国际广播电台肯尼亚籍记者尼拉：“我希望这次会晤讨论的议题能在未来收获实实在在的成果，我也希望成员国在一起讨论的议题可以使不仅是金砖成员国，还有其他国家特别是发展中国家受益。”俄罗斯《消息报》记者维塔利：“听金砖各国领导人一起谈论金砖组织的未来发展，我们知道，中国提出了一个新的概念：‘金砖+’，看金砖国家和非金砖国家如何组织对话会也会很有意义。”中国国际广播电台巴西籍记者拉法埃尔：“在未来十年，‘金砖+’对金砖五国来说，都必定会是一个宝贵的财富。”（原题《习近平的金砖时间马上开启，都有哪些重磅安排？》）
划重点！习近平治国理政100个金句，读懂十八大以来这五年,①坚持“老虎”、“苍蝇”一起打；②绿水青山就是金山银山；③空谈误国，实干兴邦；④人民对美好生活的向往，就是我们的奋斗目标；⑤确保部队召之即来、来之能战、战之必胜…习近平治国理政100个金句，一起学起来！
图解：习近平出席金砖国家领导人厦门会晤全纪录,（原题为《图解：习近平出席金砖国家领导人厦门会晤全纪录》）
习近平带领新军委班子履职一月，“首要政治任务”走在前列,"人民网11月25日报道，11月3日上午，习近平一身戎装，带领新一届军委班子成员走进军委联合作战指挥中心，同驻守边防海防部队官兵视频通话，通过视频察看驻吉布提保障基地……10月25日，中国共产党第十九届中央委员会第一次全体会议决定了中央军事委员会组成人员，习近平为中央军事委员会主席，许其亮、张又侠为中央军委副主席，魏凤和、李作成、苗华、张升民四人为中央军委委员。党的十九大鲜明提出习近平强军思想，对全面推进国防和军队现代化作出新的战略安排。强调要确保到2020年基本实现机械化，信息化建设取得重大进展，战略能力有大的提升，力争到2035年基本实现国防和军队现代化，到本世纪中叶把人民军队全面建成世界一流军队。“雄关漫道真如铁，而今迈步从头越。”习近平带领新一届军委班子履职一月，以实干担当开启了新征程。党的十九大一中全会闭幕第二天，也就是新一届军委班子工作的第一天，习近平走进了军队领导干部会议的会场，其他军委班子成员全部出席会议。习近平在会上明确提出，新一届军委班子要牢记党和人民重托，牢记全军官兵期望，全力以赴做好军委工作。作为党中央的核心、全党的核心、人民军队最高统帅，习近平在十九大后第一时间踏入了军队大门。这一天，习近平在军队的活动忙碌而有序。在军队领导干部会议召开前，习近平亲切会见了出席党的十九大的解放军和武警部队全体代表、特邀代表、列席人员，并同大家合影留念。这一天，习近平还主持了第一次军委常务会议。随后的几天，习近平又两次现身军队活动。11月2日，中央军委晋升上将军衔仪式上，习近平向晋升上将军衔的中央军委委员、中央军委纪律检查委员会书记张升民颁发命令状。3日，习近平又视察了军委联合作战指挥中心。习近平在军队领导干部会议上指示，当前和今后一个时期，全党全国全军的首要政治任务就是学习贯彻党的十九大精神，并要求军队“努力走在前列”。就在习近平发出指示当日，中央军委召开学习贯彻党的十九大精神工作部署会，军委班子两位副主席和四位委员出席会议，对军队学习贯彻党的十九大精神工作作出全面部署。10月30日上午，十九届中央军委进行第一次集体学习，带头学习十九大精神。在贯彻落实“首要政治任务”中，军委班子身先士卒跑在了军队的最前列。在军委班子的带领下，全军和武警部队官兵迅速掀起学习贯彻党的十九大精神的热潮。军委各部门工作在这一个月里紧锣密鼓，陆续出台了《关于全面深入贯彻军委主席负责制的意见》《军队单位科研经费使用管理规定（试行）》《中国人民解放军文职人员条例》《军级以上领导干部有关待遇规定》等一系列新规章制度。习近平在党的十九大报告中强调“坚持党对人民军队的绝对领导”，必须全面贯彻党领导人民军队的一系列根本原则和制度，确立新时代党的强军思想在国防和军队建设中的指导地位。在我党我军历史上，越是处在国家和民族的重大关头，越是处在建设和发展的关键时期，就越需要发挥思想理论的引领作用，凝聚攻坚克难的强大精神力量。习近平提出一系列新思想新观点新论断新要求，深刻回答了新时代“人民军队听谁指挥、怎样铸牢军魂”“为什么强军、怎样强军”“打什么仗、怎样打胜仗”等基本问题，形成了内涵丰富、博大精深的科学思想体系。在中央军委学习贯彻党的十九大精神工作部署会上，军委副主席许其亮、张又侠在讲话中号召官兵，要牢固确立习近平强军思想在国防和军队建设中的指导地位。11月上旬，中央军委印发《关于全面深入贯彻军委主席负责制的意见》。《意见》强调，要以习近平新时代中国特色社会主义思想为指导，全面贯彻习近平强军思想，全面贯彻党对军队绝对领导的根本原则和制度，从政治上、思想上、组织上、制度上、作风上为贯彻军委主席负责制提供坚强保证，确保全军绝对忠诚、绝对纯洁、绝对可靠，坚决听习主席指挥、对习主席负责、让习主席放心。“国家大柄，莫重于兵。”人民军队历来强调“兵权贵一、军令归一”，这个“一”就是核心、统帅、领袖。军委主席负责制是贯彻党对军队的绝对领导的根本保证。全面深入贯彻军委主席负责制，关系人民军队建设根本方向，关系新时代强国强军事业发展，关系党和国家长治久安，关系中国特色社会主义前途命运。“兵者，国之大事，存亡之道，命在于将。”习近平10月26日在领导干部会议上指出，我军高级干部是强军事业的中坚力量，身上千钧重担，身后千军万马。“国有贤相良将,民之师表也。” 军队高级干部是军队中的“关键少数”。习近平要求军队领导干部必须深刻领会党中央的战略考量，充分认清强军的光明前景，充分认清肩上沉甸甸的担子，只争朝夕，紧抓快干，确保完成党和人民赋予的新时代使命任务。习近平强调，军队领导干部必须对党忠诚、听党指挥，必须善谋打仗、能打胜仗，必须锐意改革、勇于创新，必须科学统筹、科学管理，必须厉行法治、从严治军，必须作风过硬、作出表率。六个“必须”的要求指明了军队高级干部贯彻新时代党的强军思想的关键和带兵治军的根本遵循。在2014年全军政治工作会议上，习近平曾提出军队好干部的标准：对党忠诚、善谋打仗、敢于担当、实绩突出、清正廉洁。此次习近平提出的六个“必须”是根据国防和军队建设进入新时代的历史定位，对军队领导干部提出的新要求。其中“必须”二字体现“严”字当头。六个“必须”中，“必须对党忠诚、听党指挥”是前提和总领。六个“必须”的每一项都与打仗息息相关，最终目的就是确保人民军队招之能战，战之必胜。11月13日，中央军委印发《军级以上领导干部有关待遇规定》。规定严格规范军级以上领导干部在办公用房、住房、用车、工作人员配备、医疗等方面的待遇标准。这是治军方式的进一步完善，是落实军队领导干部“六个必须”要求的具体举措。此前在2015年3月，军队曾出台《关于规范完善军队人员有关福利待遇的若干规定》，明确了官兵应当享受的合理福利待遇及标准。这次出台的规定，又专门针对高级将领的待遇问题作了明确规定。“子帅以正，孰敢不正。”习近平认为，军队要像军队的样子，很重要的要体现在高中级干部身上。2014年在古田召开的全军政治工作会议上，习近平深刻剖析了部队中特别是领导干部在思想政治和作风上存在的10个方面的突出问题，并指出出现这些问题最根本的原因是“理想信念、党性原则、革命精神、组织纪律、思想作风等方面出了问题”。十八大以来，按照习近平和中央军委的决策部署，依法治军、从严治军不断走向深入。军委纪委巡视监督利剑高悬，“打虎拍蝇”重拳反腐成效显著。军队陆续出台了《军队实行党风廉政建设责任制的规定》《严格军队党员领导干部纪律约束的若干规定》《关于严禁违规宴请喝酒问题的规定》等一系列制度法规，制度的笼子越扎越紧。人民军队历来有“跟我上”的优良传统。党的十九大后，在习近平强军思想的引领下，军委、总部为全军作表率，机关为部队作表率，领导为部属作表率，军队高级将领行端坐正、以上率下，以饱满的精神状态和奋斗姿态为党工作，忠实履行职责。11月3日上午，习近平率军委班子全体成员视察军委联合作战指挥中心。习近平就座总指挥席，通过视频呼点一线任务部队，同驻守边防海防的有关任务部队官兵通话，通过视频察看了驻吉布提保障基地，听取了全军练兵备战工作汇报，并发表重要讲话。军委联指中心是军委的战略指挥中枢，每天都有大批军事行动指令从这里发出，这里有身着各军兵种作训服的值班人员。去年4月，习近平曾专程到这里视察。当时，习近平视频连线的是5个战区联指中心。十九大后再次就座总指挥席，习近平视频呼点的目标已经通达边海防和海外保障基地。习近平曾在一次军队重要会议上对高级指挥员们说：“军事上的落后一旦形成，对国家安全的影响将是致命的。我经常看中国近代的一些史料，一看到落后挨打的悲惨场景就痛彻肺腑！”战场打不赢，一切等于零。党的十九大报告明确指出，军队是要准备打仗的，一切工作都必须坚持战斗力标准，向能打仗、打胜仗聚焦。习近平强调，实现党在新时代的强军目标、把人民军队全面建成世界一流军队，必须扭住能打仗、打胜仗这个关键，在备战打仗上有一个大的加强。习近平此次视察军委联指中心时说：今天到军委联指中心来，就是要亮明态度，从我做起，从军委做起，强化备战打仗导向，提高打赢本领，抓实备战工作，带领我军真正做到能打仗、打胜仗，担当起党和人民赋予的新时代使命任务。习近平要求全军各级领导干部特别是高级干部要做备战打仗带头人。要树立正确的事业观、权力观、地位观，树牢备战打仗意识。习近平2014年3月亲自担任中央军委深化国防和军队改革领导小组组长，开启了一场整体性、革命性变革。短短两年时间，国防和军队改革取得历史性突破，形成军委管总、战区主战、军种主建新格局，人民军队组织架构和力量体系实现革命性重塑。人民军队在军事斗争准备方面取得重大进展。强军兴军，建设世界一流军队，绝不是轻轻松松、敲锣打鼓就能实现的。它需要富国和强军相统一，需要全党全国全军共同努力，全面推进军事理论现代化、军队组织形态现代化、军事人员现代化、武器装备现代化。“率军者披坚执锐，执戈者方能战不旋踵。”新一届军委班子以新时代坚定者、奋进者、搏击者的姿态，以时不我待、只争朝夕的精神，开启了新时代国防和军队建设的长征路。长风破浪会有时。站在新的历史起点上，在习近平新时代强军思想引领下，人民军队有信心、有实力走好新的长征路，为实现“两个一百年”奋斗目标、实现中华民族伟大复兴提供战略支撑。（原题为《习近平带领新军委班子履职一月 “首要政治任务”走在前列》）"
