李克强：要见端知本，把民之所望做改革所向,这次两会期间，我到代表团参加审议和讨论，不少代表委员都提出，在推进供给侧结构性改革的时候，政府要着力推进优化营商环境，提供办事便利，这可以说是市场主体和人民群众对改革比较迫切的愿望，他们提的有很多看似是小问题，实际上是连着大政策。我们要见端知本，改革就是要把突破点逼近离市场、群众最近的地方。把民之所望，做改革所向。
十三届全国人大一次会议在京闭幕，习近平发表重要讲话,新华网北京3月20日消息，中华人民共和国第十三届全国人民代表大会第一次会议，在圆满完成各项议程，产生新一届国家机构组成人员后，20日上午在人民大会堂闭幕。国家主席习近平发表了重要讲话。十三届全国人大常委会委员长栗战书和副委员长、秘书长担任大会执行主席，并在主席台前排就座。李克强、汪洋、王沪宁、赵乐际、韩正、王岐山等党和国家领导人出席会议。张德江、俞正声、张高丽等在主席台就座。会议应出席代表2980人，出席2962人，缺席18人，出席人数符合法定人数。闭幕会由大会执行主席、十三届全国人大常委会委员长栗战书主持。上午9时，栗战书宣布会议开始。会议经过表决，通过了关于政府工作报告的决议。决议指出，会议高度评价过去五年我国经济社会发展取得的历史性成就、发生的历史性变革，充分肯定国务院过去五年的工作，同意报告提出的2018年经济社会发展总体要求、政策取向和对政府工作的建议，决定批准这个报告。会议经表决，通过了监察法，国家主席习近平签署第三号主席令予以公布。会议表决通过了关于2017年国民经济和社会发展计划执行情况与2018年国民经济和社会发展计划的决议，批准2018年国民经济和社会发展计划；表决通过了关于2017年中央和地方预算执行情况与2018年中央和地方预算的决议，批准2018年中央预算。会议表决通过了关于全国人大常委会工作报告的决议、关于最高人民法院工作报告的决议、关于最高人民检察院工作报告的决议，决定批准这三个报告。完成上述议程后，习近平发表了重要讲话。栗战书随后也发表了讲话。10时20分许，栗战书宣布：中华人民共和国第十三届全国人民代表大会第一次会议闭幕。（原题为《十三届全国人大一次会议在京闭幕 习近平发表重要讲话》）
习近平：加满油，把稳舵，鼓足劲，劈波斩浪、扬帆远航,习近平在十三届全国人大一次会议上发表重要讲话。习近平说，我们要乘着新时代的浩荡东风，加满油，把稳舵，鼓足劲，让承载着13亿多中国人民伟大梦想的中华巨轮继续劈波斩浪、扬帆远航，胜利驶向充满希望的明天！
李克强提名韩正、孙春兰、胡春华、刘鹤为国务院副总理人选,两会新华社快讯：根据宪法，国务院总理李克强提名韩正、孙春兰、胡春华、刘鹤为国务院副总理人选。十三届全国人大一次会议将根据提名进行投票表决。
专访｜香港行政会议召集人陈智思：将帮林郑月娥推广香港,对于陈智思来说，全国两会的会场并不陌生。出身金融世家的他，是叱咤香港保险业的风云人物，曾是最年轻的行政会议成员、最年轻的立法会议员。从2008年的十一届全国人大一次会议开始，他已经连任三届港区全国人大代表。2017年，林郑月娥当选为新一任香港特别行政区行政长官后，担任新一届香港特区行政会议召集人的陈智思，掀起了不小的舆论风云。关于他的传说变得多了起来——林郑月娥当选的幕后“操盘手”，女特首的四大“财金智囊”之一。因此，在新一届全国两会上，陈智思的发言与履职表现备受关注，但他在面对媒体时尽显低调。直到3月17日，陈智思接受澎湃新闻（www.thepaper.cn）记者专访，还原了林郑月娥当选女特首的背后故事，透露了新一届特区政府的执政脉络，同时描述了他眼中的香港未来。 你已经连续三届当选为香港代表团的全国人大代表了，今年你有哪些新的关注点？主要是围绕“一带一路”的新形势，我更关注中国企业“走出去”之后怎么办。“一带一路”倡议已经成功开始，并且逐步和沿线国家建立了良好的贸易合作关系，不少中国企业通过这个倡议走出去。我在思考，“走出去”的中国企业，如何展现中国风范。如果企业只看中自己的利益和当地资源，不注重帮助沿线国家的当地建设发展，不去注意当地民众对我们的企业怎么看，就会显得缺乏企业责任感。中国企业借助“一带一路”倡议“走出去”，企业形象很重要，能否成为一个好的合作伙伴，对提升中国形象是很重要的。我认为应该在“一带一路”的发展过程中，对走出去的中国企业的社会责任相关工作进行规范。那么在你看来，关于“一带一路”，香港能在哪些方面做更多贡献？根据多年来的实践经验，香港的法治能力，让很多国际上的投资者都很有信心。在“一带一路”深化过程中，走出去的中国企业在与其他国家合作时，双方都有各自的法律标准。所以，以香港法律作为合作的基础，更容易获得国际认同。香港可以在法律仲裁和咨询服务上为“一带一路”作出贡献。另外还有我很熟悉的保险业，中国企业到“一带一路”国家地区开展业务，可能面临很多风险，在管控风险、提供保险服务上，香港的保险业发展比较规范成熟，可以贡献力量。除此之外，香港的融资配套平台在国际上也是最好的。银监会和保监会在这次的国务院机构改革方案中合并，组建中国银行保险监督管理委员会。你在银行业和保险业都有较深的从业经验，这场改革将带来哪些实际变化？“一行两会”的新格局诞生，也是我非常关注的新变化，以后也会长期关注香港的保险公司在进入内地市场后会有哪些不同的改变。银监会和保监会合并后的人事变化，对银行与保险业的政策会有哪些新变化，也是值得注意的部分。对保险领域的监管可能会更趋严格。过去很多人把保险的概念搞错，有些保险公司拿着保金去海外购买了很多资产，与保险主业毫无关系。还有人觉得保险很赚钱，就都去拿牌照，滋生了保险行业的乱象。新组建的监管部门，必然会出台新的管理政策，将来的要求会更高、更规范。以后的政策必然会收紧。粤港澳大湾区的建设发展，也是这次两会上粤港澳代表们热议的一个话题，你有哪些建议？我这次针对粤港澳大湾区建设提交了建议，也在发言时说了一些观点，但国家对粤港澳大湾区建设的规划还没有正式出台，我能构思的空间还不够。能明确的是，大湾区的建设对香港来说是非常重要的，也是非常好的机遇。我所关注的是，怎么去理顺大湾区城市群之间的竞争关系，避免产生发展矛盾，毕竟每个城市都有自己的特点和强项，也有互相间的不同之处。就拿香港来说，它是世界金融中心，金融业很强大，但是大湾区的其他城市也一定会发展金融，怎么才能协同发展，是需要思考的。还有就是科技创新，这方面深圳是很发达的，但按照香港的发展思路，也是希望做好科技创新的。那么怎么去合理规划，避免城市间的功能“撞车”，在大湾区建设的实际操作过程中，就需要去理顺各个组成区域的利益关系。你如何评价此时的香港？不得不说的是，香港现在的确面临着一些矛盾。1997年香港回归前，中央政府承诺香港制度“50年不变”。1998年，我开始参政，开始越来越感受到，很多港人觉得50年的时间是十分漫长的，反正制度不会变，那社会也变化不到哪去，不需要构思得那么遥远。也就是说，包括香港政府在内，都没有做好与内地充分融合的准备。可是到现在香港回归过去了20年，就已经走得很快很快了，香港从来没有想到，与内地之间的融合程度和速度如此之高、如此之快。尤其是2003年之后，受SARS和金融危机的冲击，香港经济社会进入困难时期，特区政府为此向中央政府寻求了不少政策援助，其中最有代表性的就是贸易政策和“自由行”。而且内地在这些年间各方面的发展速度都非常快。1997年之前，多数只是港商到内地办厂，是单方面的融合。但现在的香港股票市场，70%的交易都是内地企业。香港每年近6000万的游客，之中有4600万来自内地。这样的融合速度，深深改变了香港，也颠覆了不少香港人的观念。内地与香港的深度融合，是否放大了深圳河两岸的差异？近年来，香港社会时而会出现一些质疑的声音。香港本地仅有700万人，来自内地的同胞们给香港带来了巨大的经济机会，但这种变化也带来了社会资源被分享等现实问题。就拿教育来说，每一所香港的大学，都有10%的大学生来自内地，他们可以说是内地最好的学生。所以内地学生的到来，给香港年轻人带来了很大的竞争压力。 香港与内地在经济民生等方面的深度融合，以及全球一体化带来的冲击，这些都是香港没有准备好的，所以在香港社会就产生了很多种声音。有观点认为，香港的经济地位已经逐步被内地几个城市所取代，在你看来是如此吗？香港应该如何去迎接新的变化？并没有被完全取代，但是内地不少城市的迅速发展，的确带给香港很大的竞争压力。这是无法避免的，一定要接受行业的淘汰。现在很多香港人已经开始讲，在港口贸易上，深圳和上海的港口都比香港大，几年后香港的业务肯定会减少。所以现在香港已经在思考如何寻找新的机会和新的增长点。以我个人为例，我原本在香港也开了银行，但在2006年时，我决定关掉银行业务。当时我就在想，照着内地市场的发展速度，再过十年，我的银行还有竞争力吗？现在真的过了十年，回头看我当时的决定是正确的。我关掉银行，不是因为我的银行有问题，而是以当时的基础，我的银行只适合服务本地，我缺少在内地的网络，而客户们今后需要更多的开放。在金融业，每天都有新的科技在出现，规模不够的银行，没有资源去开发新科技，所以香港本地的金融机构，在过去的十年间被逐步淘汰，本地家族拥有的银行，现在已经不足两家。但我相信，香港会不断有新的行业和服务会推出，比如医疗市场，现在很多人都需要高端医疗，已经有很多内地人来香港寻求合作了。在管理、咨询、高端服务等领域，香港具备得天独厚的经验和体制基础，在未来也会诞生更多的新机会。不仅如此，香港是中国走出去的最好的平台，而且在金融领域，上海和香港可以分工，一个负责境内，一个面向境外。林郑月娥当选为香港特首之后，很多人称你为幕后“操盘手”、“首席智囊”，你怎么看待这些评价？其实有些夸张了。在选举过程当中，我的确做了林郑月娥竞选办的主任，但她本身的能力是非常强的。外面给我那些评价，主要是因为我来自商界，有一定的优势，沟通能力比较强。林郑当了30年的公务员，她非常能干，但在与各界沟通方面，我的工作能弥补她某方面的不足，但是她的当选并不仅仅是我一个人的贡献。很多人说在选举中我和林郑的工作比较密切。我和她相识了差不多有20年，在过去的那些年里，与她有过很多次工作上的合作。她担任社会福利署署长的时候，我是香港社会服务联会主席；她担任发展局局长时，我担任古物咨询委员会主席；后来我当可持续发展委员会主席，我的很多社会工作也都和她对接。所以我们之间原本就有非常多的工作合作机会。就是因为这些，去年一月，她找我担任竞选办主任。我就来帮助她，我完全没想到她会找我当，更没想到她会真的当选特首。在选举过程当中，我们合作得非常好，所以外面很多人才有了这些对我的评价。你怎么评价这位新任女特首？她真的非常敬业，非常拼，为了做好工作，可以不睡觉。去年她当选后，要去东南亚官式访问，泰国政府安排她早上会见官员，下午和晚上与商界见面，进行晚宴，但她第二天一早又要赶回香港参加另一个重要活动，所以她就必须要乘坐早上6点的飞机，4点就要起床赶去机场。但前一晚的会面进行到晚上11点多才结束，她和我们说，只有4个小时的休息时间，就不睡了，可以处理手头的工作。几个月前也是如此。她来北京开会，但还要赶回香港参加一个开幕会。为了不耽误北京的会期，同时也准时回去参加仪式，她就搭凌晨3点的班机飞回去。一般人在这个时间坐飞机，都是要睡觉的。她身边的工作人员都睡了，唯独她没有睡，一直在改一份稿子，一落地就交给了同事，准时发稿，然后马上赶去参加仪式。她非常投入工作，反而让我有些担心。她不仅要处理本地问题，还要代表香港展开对外经济交流工作，更要与中央政府密切对接。她担任特首还不到一年，但她对于香港的发展是很着急的，房屋问题、香港竞争力问题、民生保障问题，很多很多。她总说自己要在五年任期里把所有的事情都做完。她真的很不容易，我很担心她的身体，休息的时间太少了，每天都不超过5个小时。 新一届港府有哪些执政新思路？香港最大的矛盾在于中产阶层，他们没有能力购买高端服务，也无法享受底层服务。新一届港府的目标，也在中产利益。在医疗、人才培养、住房问题上则会投入得比以往更多。首先要解决的问题是住房矛盾，港府正在进行新的供地规划。目前香港有50%的人没有自己的房子，而房价调控的矛盾是很难调和的。所以不能只采用一种方法，需要找到一种平衡，让有产者与无产者都能满意。同时准备提高教育投资。过去20年也投入了很多资源给教育，但远远不够，接下来还要继续加大。在医疗方面，香港老龄化矛盾严重，再过五年，香港老龄化速度会明显体现，香港将会是老龄化程度最高的地区之一。根据新的财政预算案，未来十年至二十年，将有3000亿元投放在医疗配套建设上。还有就是人才培养，将鼓励更多人进入医疗行业，目前也已经投放资源进行培训，但不能只靠香港本地培养，还要引进各地资源。在高科技方面，过去十年，香港投放的科技投入不够，新一届港府也比以前多了几倍。除此之外，香港与中央政策也会越发紧密相连。接下来，你打算怎么帮助林郑月娥？林郑比任何人都理解香港政府的运作，我能帮的地方其实并不多，但在对外沟通上，我能多帮助她。尤其是在“一带一路”方面，我们可以帮助她推广香港。
代表通道｜杨伟谈歼20：实现从跟跑、并跑到领跑的必由之路,3月20日上午，十三届全国人大第一次会议闭幕会开始前，本次大会举行了最后一场代表通道。全国人大代表、中国航空研究院副院长杨伟走上通道接受媒体采访。作为歼20飞机总设计师，媒体对杨伟的提问紧紧围绕这架我国自主研制的第四代战斗机展开。杨伟介绍称，歼20的研制实现了既定的四大目标，一是打造跨代新机，二是引领技术发展，三是创新研发体制，四是建设卓越团队。“打造跨代新机，就是要按照性能、技术和进度要求，研制开发我国自己的新一代隐身战斗机。”近期，歼20正式列装部队，杨伟表示，它终于可以守护祖国的蓝天，守护国家和人民的利益。此外，杨伟还介绍称，引领技术发展就是要自主创新，实现强军、新军的目标。“歼20既有很强的隐身性能，又有很强的超音速和机动飞行能力，它既能飞得更远，又能承载武器多。”杨伟表示，歼20在态势感知、信息对抗、机载武器和协同作战等多个方面取得了很多突破，“有很多绝招”。杨伟因此认为，这也是中国航空工业实现从跟跑到并跑，最后到领跑的必由之路。在创新研发体系方面，杨伟透露，这些年，通过一大批大国重器的研制，中国航空工业建立了具有我国特色的数字化的飞机研发体系，使得飞机的研发周期更短，质量更高。同时，通过型号研制，锤炼了一支爱党爱国的研制队伍。“现在一大批优秀的青年成长起来了，他们拥有报国情怀，拥有创新精神，是我们航空事业未来发展的生力军。”杨伟说。
一图读懂新一届国家机构领导人是怎样产生的,十三届全国人大一次会议的一项重要议程是选举和决定任命国家机构领导人。那么，相关流程是怎样的？一起学习。
习近平：让人类命运共同体建设的阳光普照世界,习近平说，中国将继续积极维护国际公平正义，主张世界上的事情应该由各国人民商量着办，不会把自己的意志强加于人。中国将继续积极推进“一带一路”建设，加强同世界各国的交流合作，让中国改革发展造福人类。中国将继续积极参与全球治理体系变革和建设，为世界贡献更多中国智慧、中国方案、中国力量，推动建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界，让人类命运共同体建设的阳光普照世界！
湖北恩施州州长：脱贫的老百姓没有返贫的，我心里就踏实了,十八大以来，习近平总书记提出了“精准扶贫”的战略思想，并要求：扶贫要实事求是，因地制宜；要精准扶贫，切忌喊口号。作为脱贫攻坚的重点地区，全国人大代表、湖北恩施自治州州长刘芳震在做客央广两会特别节目《谁不说咱家乡好》时表示，恩施州委、州政府始终牢记总书记嘱托，在脱贫攻坚中，既要啃下脱贫“硬骨头”， 确保脱贫路上“一个都不少”；更要提高脱贫的质量，不搞“数字脱贫”，脱真贫、真脱贫。“蜀道之难，难于上青天”，李白的这句诗用来形容位于武陵山区的恩施也毫不为过。作为湖北省唯一的少数民族自治州，恩施地处武陵山集中连片特困地区，八个县市都属于国家级重点贫困县。截至目前，全州仍有40.9万贫困人口，而距离2019全州实现脱贫的预期目标只有短短不到2年时间。脱贫攻坚时间紧、任务重。尤其是在少数民族聚居的武陵山区，交通不便是制约当地发展的最大瓶颈。早年间村民出行，往往要靠肩挑背驮，整整走上一天才能到县城。“山区其实有很丰富的资源，但是只靠肩挑背驮，里边的东西运不出去，外边的东西也进不来。”刘芳震认为，要解决这个问题，首先必须要过的一关就是基础设施建设，通过修路来改变山区的交通状况。为此，过去几年间，恩施州花大力度进行交通基础设施建设，目前已有2条铁路、4条高速相继建成通车，实现了土苗儿女“通高速、通铁路”的百年梦想，恩施也成为全国首个开通动车的自治州。 “这个是老百姓感受最直接、最实惠的发展红利，从此恩施‘山不再高、路不再远、地不再偏’。”作为恩施改革开放四十年的亲历者、见证者，同时也是参与者、践行者。刘芳震对交通给恩施带来的变化有切身感受，龟塘村曾是他重点帮扶的一个贫困村，刘芳震刚接手时，村中没有一条硬化路，山高路远，距离恩施州首府有一百多公里，离最近的县城也有二十多公里，村民外出十分不便。没修路之前，村民的人均收入只有5000元左右，而在修路之后村民人均年收入达到8000多元，如今全村已经脱贫。“像这样通过交通设施改善而脱贫致富的村子有很多，这只是其中一个。”刘芳震说。据刘芳震介绍，目前恩施的立体交通网络已基本形成，全州所有行政村已经实现了路网村村通。 但恩施州作为深度贫困地区，农村公路基础弱、欠账多，仍是决战脱贫攻坚、决胜全面小康最薄弱的环节。目前，恩施全州还有812个撤并村、1.4万个20户以上的自然村未通沥青水泥路。“要实现精准脱贫，还需建设通畅工程约2.2万公里，解决农村交通‘最后一公里’问题。”精准脱贫是刘芳震在采访中多次提到的一个词，他告诉记者，过去一年，全州虽然有140个重点贫困村顺利出列，3.9 万户、12.2万人脱贫销号，但目前全州仍留存315个贫困村，是湖北省贫困人口存量最多的市州，并且剩下的都是贫中之贫、困中之困，是最难啃的“硬骨头”。“精准识别应该说是脱贫攻坚的第一颗纽扣，很多地方出问题往往出在识别不精准，在识别的过程当中，可能把一些不该进的进了，该进来没进，还可能引发腐败等问题。”在这样的情况下要做到“精准识别“，是不少省市在脱贫攻坚中都面临的难题。刘芳震认为，其中必须要坚持的原则是既不吊高胃口，也不降低标准，尤其是不能搞数字游戏。“因为精准脱贫的基础对象都在农村，都是贫困户，所以首先我们脱贫攻坚的工作力量要下沉到村到户。”为此，恩施每个乡镇都成立了前线指挥部，并在村中成立了脱贫攻坚尖刀班，确保每个村都有脱贫公证工作队，每个生产小组至少有一名干部参与或辅助脱贫攻坚工作，以实现全覆盖。在具体的实践中，刘芳震特别提出一个“大数据”的概念。“因为现在老百姓有很多财产，有可能在外面打工买车，有的可能买房，但是通过大数据搜索就可以进行全覆盖，应该说是取得很好的效果。”在大数据核查外，进而由干部进村入户，现场看，现场查，来确保这个精准识别。“总之就是通过多次识别，确保该进的坚决进，不该进的一个都不能进。”刘芳震说。除了识别真正需要脱贫的贫困户，要实现全面小康的目标，刘芳震认为“如何让贫困户不再返贫”是接下来要重点解决的难题。“因为精准脱贫，关键是产业，没有稳定的产业，没有一个好的产业带动，那贫困人口这个脱贫是不可靠的、不稳定的。”要实现真脱贫，恩施州采取的做法是将产业引进到村到户，并且做到因地制宜。“每一个村要有一个主导产业，没有主导产业的，我们就通过培训，让他有一个稳定工作岗位与收入。利用我们在发达地区的商会，由一些企业提供就业岗位，然后通过人事部门、劳动部门的培训，把这些有就业愿望、有能力的人送到岗位上，确保贫困人口要么有产业，要么在就业。”以龟塘村为例，此前村中世代以种植玉米、水稻为生，始终没有富起来。扶贫工作组在考察了村中土地情况后，提出了种植恩施特产-藤茶，通过这种经济作物来使村民增收。“当时我们种了1200亩，贫困户通过合作社的模式入股，当年就有收益，如今已经脱贫。”今年年初，刘芳震到村中回访，村中的一名七十多岁的种植户告诉他，去年底通过分红拿到了七千多元，准备继续种下去。“我主要是看原来脱贫的老百姓有没有返贫的，到他们家里看一看，从他们脸上的表情就看得出来，没有愁眉苦脸的人，这我心里就踏实。”（原标题为《恩施州州长刘芳震：“脱贫的老百姓没有返贫的，我心里就踏实了”》）
《厉害了，我的国》｜一个铁路人流泪的记忆,看过许多纪录片，但这是一次“很意外”的观影经历。当片尾主题曲《新的天地》旋律响起，现场观众集体起立为《厉害了，我的国》鼓掌时，有一种久违的、沸腾的情绪在胸中澎湃激荡，久久不息。这是一部顺应时代呼声的作品。它全方位呈现了在创新、协调、绿色、开放、共享的新发展理念下，中国这五年取得的伟大成就。五年间，中国在许多领域由“追赶”变为“领跑”，在国际舞台上留下一抹贯穿时空、砥砺奋进的“中国红”。作为一名铁路人，看到电影中奔驰的高铁列车：“复兴号”的闪亮身姿、中欧班列巨龙蜿蜒，我更是时而振奋激动，时而热泪盈眶，那颗久经岁月磨砺迟钝了的心，被《厉害了，我的国》点燃，引发思绪万千。那是20年前，我是一名内燃机车火车司机，那时货物列车运行速度不超过60公里。有一次驾驶近4000吨的货物列车在京广线的广州至韶关段负重闯坡，接近坡顶时列车只有不到15公里的时速了！外面下着雨，车轮不停空转打滑，机车撒砂装置又出现故障，列车面临坡停的危险。一旦停下不仅有往后溜逸的危险，而且会影响后续列车乃至整个京广线的运行秩序。情急之下，我的副司机跳下火车头，用自己的饭盒从机车砂箱装砂，再跑到钢轨前方进行人工撒砂……想到这里，我泪湿衣襟，那是憋屈难堪的泪水呀！10年前，我站在武广高铁列车的火车头上，看到宽敞明亮的司机室，现代化的操作平台，打着领带、戴着白手套的我的火车司机兄弟，干练自信地驾驶着高铁列车。当列车试验速度达到350公里时，我的心都要跳出嗓子眼了，这是我一生经历的地面交通工具的最高速度……我的眼泪不禁涌出。这是中国人创造的速度！这次是喜极而泣、振奋不已的泪！3年前，我站在北京至张家口高铁的开工现场，一排排现代化大型施工机具像威武的士兵列阵展示，一面面鲜艳的旗帜迎风飘扬。我想着1905年詹天佑为了建设京张铁路忍受的屈辱，当时的美国人说，“能建京张铁路的中国人还没有出生！”100多年后的今天，在同一地点、同一线路上，我们要建设世界上最先进的智能高速铁路，打造“精品工程、智能京张”！抚今追昔，沧桑巨变，我又一次男儿泪奔流。这是致敬铁路先贤、立志奋斗的泪！2年前，我站在郑徐高铁试验列车的司机室，当“金凤凰”“蓝海豚”两列中国标准动车组以交会地点误差不超过200米、交会时间误差不超过2秒的骄人成绩，完成世界上运营高铁列车首次重联交会试验时，我挥笔写下：你是“蓝海豚”/我是“金凤凰”/你我相逢在郑徐高铁上/你有你的/我有我的/方向/相会的1.7秒/你记得也好/我永不会忘/匆匆的一次交会/便震惊了世界/惊艳了时光。写完，我停笔不能言，唯有双泪流。这一次，是骄傲自豪、扬眉吐气的泪！近几年，我在柏林、叶卡捷林堡、亚的斯亚贝巴、吉隆坡、新加坡等地的中国高铁展现场，看到不同民族不同肤色不同语言的人们，轻抚着中国标准动车组合影，甚至梅德韦杰夫、佐科、廖中莱等各国政要亲自体验高铁仿真驾驶、为中国铁路点赞时，我不禁又一次泪眼婆娑。这是一个农家山村出来的小伙，感恩祖国人民、欢呼伟大时代的泪！不到90分钟的电影散场时，我作为一个铁路人的泪水已经浸湿衣裳。我从燃烧的心底喊出：“有幸遇见新时代，今生无悔铁路人！”（作者：谭小建 单位：中国铁路总公司）
