中央巡视组南下广东，省委书记：坚定接受巡视监督的政治自觉,根据中央关于巡视工作的统一部署，2月23日上午，中央第十二巡视组巡视广东省工作动员会召开。会前，中央巡视工作领导小组成员、办公室主任王鸿津主持召开与广东省委书记李希、省长马兴瑞的见面沟通会，会议传达了习近平总书记关于巡视工作的重要讲话精神。会上，中央第十二巡视组组长武在平就即将开展的巡视工作作了讲话，王鸿津就配合做好巡视工作提出要求。李希主持会议并作表态讲话。中央第十二巡视组副组长及有关同志，广东省委、省人大常委会、省政府、省政协领导班子成员，广州、深圳市人大常委会、政府、政协党组和纪委、组织部主要负责同志，各地级市党委主要负责同志出席会议；已退出领导岗位的部分副省级领导同志，省纪委（监察委）、省委组织部领导班子成员，省有关单位主要负责同志列席会议；各地级以上市党委和人大常委会、政府、政协党组领导班子其他成员，县（市、区）党委主要负责同志，以及有关部门主要负责同志在当地通过视频会议的形式列席会议。王鸿津指出，党的十九大把习近平新时代中国特色社会主义思想确立为党必须长期坚持的指导思想，对新时代坚持和发展中国特色社会主义的一系列重大理论和实践问题阐明了大政方针，是我们党在新时代开启新征程、续写新篇章的政治宣言和行动纲领。深入学习贯彻党的十九大精神是当前和今后一个时期的首要政治任务，广东省委和各级党员领导干部要牢固树立“四个意识”，坚定“四个自信”，旗帜鲜明坚持以习近平新时代中国特色社会主义思想为指导，用以武装头脑、指导实践、推动工作；旗帜鲜明维护习近平总书记党中央的核心、全党的核心地位，维护党中央权威和集中统一领导；旗帜鲜明坚持和加强党的全面领导，坚持党要管党、全面从严治党，勇于自我革命，坚定不移推动全面从严治党向纵深发展。广东省委要深刻领会党的十九大关于全面从严治党的战略部署，准确把握全面从严治党形势任务，坚决落实管党治党政治责任，保持战略定力，以永远在路上的韧劲和执着，不断把全面从严治党引向深入。王鸿津强调，巡视是全面从严治党的重大举措，是党内监督的战略性制度安排，根本目的是为了夯实党长期执政的政治基础，始终保持党同人民群众的血肉联系，跳出“历史周期率”，实现党自我净化、自我完善、自我革新、自我提高。习近平总书记始终高度重视巡视工作，多次发表重要讲话、作出重要指示，形成了习近平巡视工作思想，为做好新时代巡视工作提供了根本遵循。党的十九大对巡视工作提出新的更高要求，党章专列一条对巡视巡察制度作出规定，党中央制定并印发中央巡视工作五年规划，确定了十九届巡视工作的“路线图”和“任务书”。广东省委和各级党员领导干部要深刻认识巡视工作重要意义，提高政治站位和政治觉悟，恪守党性原则，增强自觉接受监督的政治意识，坚决支持配合中央巡视组工作，加强对巡视组的监督，共同完成好党中央交给的巡视任务。武在平指出，巡视是党章赋予的重要职责，中央巡视组将牢牢把握政治巡视定位，贯彻巡视工作方针，坚持以习近平新时代中国特色社会主义思想为指导，以“四个意识”为政治标杆，突出问题导向，盯住关键少数，查找政治偏差，聚焦坚持和加强党的全面领导、新时代党的建设总要求、全面从严治党，以党的政治建设为统领，把坚决维护以习近平同志为核心的党中央权威和集中统一领导作为根本政治任务，围绕党的政治建设、思想建设、组织建设、作风建设、纪律建设和夺取反腐败斗争压倒性胜利等方面，深入检查被巡视党组织学习贯彻习近平新时代中国特色社会主义思想情况，贯彻落实党章和党的十九大精神情况，落实意识形态工作责任制情况，选人用人和基层党组织建设情况，执行中央八项规定精神和整治“四风”情况，党规党纪执行情况，领导干部廉洁自律和整治群众身边腐败问题情况，以及十八届中央巡视整改落实等情况。通过开展巡视监督，发现问题、形成震慑，推动改革、促进发展，发挥标本兼治战略作用，为全面从严治党提供有力支撑。李希表示，习近平总书记高度重视巡视工作，党的十八大以来多次对巡视工作发表重要讲话、作出重要指示，为做好新时代巡视工作指明了前进方向、提供了根本遵循。十九届中央第一轮巡视将广东纳入其中，充分体现了以习近平同志为核心的党中央对广东工作的高度重视和对广东省委和各级党员领导干部的关心爱护。我们要认真学习领会习近平总书记的重要指示精神，切实把思想和行动统一到中央的部署要求上来，坚决拥护服从中央巡视工作安排，全力做好支持配合，以实际行动维护习近平总书记的核心地位，维护以习近平同志为核心的党中央权威和集中统一领导。一要充分认识这次巡视工作的重大意义。这次巡视工作有利于我们更加坚定地以习近平新时代中国特色社会主义思想为指导，维护习近平总书记党中央的核心、全党的核心地位，维护党中央权威和集中统一领导，有利于我们更加扎实地贯彻落实党的十九大各项决策部署，有利于我们更加深入地推进全面从严治党，把各级党组织建设得更加坚强有力。我们要以高度的政治责任感和求真务实的作风，自觉配合中央巡视组做好各项巡视工作，共同努力把中央交办的巡视任务完成好。二要坚定接受巡视监督的政治自觉。切实提高政治站位、端正思想认识，把接受和配合中央巡视组监督检查作为一条铁的纪律，客观如实反映情况，对巡视组要求配合的工作主动积极、雷厉风行、紧抓快办，对巡视组提出的问题，坚持边查边改、立行立改、真改实改。三要全力做好巡视工作服务保障，严格遵守巡视工作纪律，畅通中央巡视组和干部群众的联系渠道，确保中央巡视组顺利开展巡视工作。据悉，中央巡视组将在广东省工作3个月。巡视期间（2月23日-5月23日）分别设专门值班电话：020-87186990、87186991；专门邮政信箱：广州市712信箱、邮编510100。巡视组每天受理电话的时间为：8:00—20:00。根据巡视工作条例规定，中央巡视组主要受理反映广东省级领导班子及其成员、下一级党组织领导班子主要负责人和重要岗位领导干部问题的来信来电来访，重点是关于违反政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律和生活纪律等方面的举报和反映。其他不属于巡视受理范围的信访问题，将按规定由广东省和有关部门认真处理。根据巡视工作条例规定和中央要求，本次巡视还将广州、深圳市委和市人大常委会、政府、政协党组主要负责人纳入巡视监督范围，并对有关重要情况进行专题了解。（原题为《中央第十二巡视组巡视广东省工作动员会召开》）
齐齐哈尔市政府原副市长黄宇涉嫌严重违纪接受审查调查,据黑龙江省纪委监委消息：齐齐哈尔市政府原党组成员、副市长黄宇涉嫌严重违纪违法，目前正接受纪律审查和监察调查。黄宇，男，汉族，1964年12月生，山东烟台人，1982年3月参加工作，1986年6月加入中国共产党，黑龙江省委党校经济管理专业研究生毕业，高级工程师。1982.03—1983.07 省第三建筑工程公司二处统计员1983.07—1987.07 省第三建筑工程公司职工学校教师（其间：1984.09—1987.07 省建筑职工大学大专班工业与民用建筑专业学习）1987.07—1990.11 省第三建筑工程公司三处技术员1990.11—1992.03 省第三建筑工程公司一处总工长、副主任（副科级）1992.03—1993.02 省第三建筑工程公司一处副主任1993.02—1995.04 齐齐哈尔市城市房屋开发公司项目经理、副经理1995.04—1996.05 省第三建筑工程公司直属工程处项目经理、主任（正科级）1996.05—2000.04 齐齐哈尔市大宇建筑工程有限公司九分公司经理（其间：1997.10—1998.07 哈尔滨建筑大学建筑工程专业本科班学习）2000.04—2002.04 齐齐哈尔市大宇建筑工程有限公司副经理2002.04—2005.07 齐齐哈尔市齐翔建工集团总经理兼总经济师、集团有限公司一公司经理（副县级）2005.07—2008.12 齐齐哈尔市齐翔建工集团党委书记、董事长、总经理（其间：2003.06—2006.07 北京交通大学土木工程专业本科班学习）2008.12—2010.05 齐齐哈尔市建设局党委委员，齐翔建工集团党委书记、董事长、总经理（其间：2007.03—2010.01 省委党校经济管理专业研究生班学习）2010.05—2012.07 齐齐哈尔市住房和城乡建设局党委委员，齐翔建工集团党委书记、董事长、总经理2012.07—2015.11 齐齐哈尔市住房和城乡建设局党委书记、局长2015.11—2016.12 齐齐哈尔市政府副秘书长，市住房和城乡建设局党委书记、局长2016.12—2017.01 齐齐哈尔市政府党组成员、副秘书长，市住房和城乡建设局党委书记、局长2017.01—2017.06 齐齐哈尔市政府党组成员、副市长，市住房和城乡建设局党委书记、局长2017.06—2017.09 齐齐哈尔市政府党组成员、副市长2017.09— 齐齐哈尔市副市级干部（黑龙江省纪委监委）（原题为《齐齐哈尔市政府原副市长黄宇接受审查调查》）
中央纪委监察部：去年32件议案建议提案已全部办结,中国纪检监察报3月3日报道，记者近日从中央纪委办公厅获悉，中央纪委监察部机关去年共承办全国人大代表议案2件、建议13件和全国政协提案17件，已全部办理完毕。据了解，中央纪委监察部机关2017年承办的32件议案建议、提案，，针对性都很强，办理要求也更高，体现了代表、委员对全面从严治党、党风廉政建设和反腐败工作的深入思考。中央纪委认真学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，牢固树立“四个意识”，坚定“四个自信”，不断提高政治站位和政治觉悟，从政治和大局高度，充分认识做好议案建议、提案办理工作的重要性，推动机关各单位增强做好办理工作的责任感和使命感，切实加强对办理工作的组织领导，创新办理形式、完善工作机制、狠抓工作落实，确保高质量完成办理任务。“中央纪委领导同志一直高度重视议案建议、提案办理工作。”据中央纪委办公厅有关负责人介绍，从制定机关办理议案建议、提案工作方案，到部署机关办理工作，再到逐件审核把关办理意见、及时认真作出答复，中央纪委领导同志均通过召开专题会议、作出批示指示、直接指导相关工作等方式，明确要求、全程领导、大力推进，确保办理责任层层落实到位，取得良好办理效果。“我们坚持把加强沟通联系，作为做好办理工作、提高办理质量的重要前提和有效途径。无论是主办、分办、会办件，还是不需要书面答复的参阅件，都主动与代表、委员联系，深入了解议案建议、提案提出的相关背景、意图主张、主要内容。在此基础上，明确本单位所承办议案建议、提案的办理要求和思路，努力做到精准分析、精准办理、精准答复。”该负责人告诉记者，对于一些针对性很强、借鉴意义高的议案建议、提案，他们还采取“请进来”或“走出去”的方式与代表、委员进行面对面交流。去年9月，中央纪委办公厅还以总结五年来办理工作为契机，对曾向中央纪委机关提出议案建议、提案的代表、委员开展电话回访，进一步征求他们对办理工作的意见，并认真研究改进措施，为做好新一届全国人大、全国政协交办议案建议、提案的办理工作做好准备。“求真务实、开诚布公，件件有着落、事事有回音，才能保证议案建议、提案的办理质量。”该负责人说，在办理过程中，中央纪委机关针对议案建议、提案中列举的有关问题及具体建议，坚持逐一提出办理意见，即使是复杂、敏感的问题，也不“绕着走”或“打官腔”。对代表、委员提出的意见建议能不能办、能办的打算怎么办、不能办的原因是什么，清清楚楚、直截了当地加以说明。比如，有的代表就做好纪检监察机关信访举报工作提出若干建议，我们分别从保护和鼓励实名举报、引导群众正确行使举报权利、认真处置业务范围内信访举报、推进“阳光信访”、加大信访督办问责力度等5个方面提出有针对性的办理意见。推动全面从严治党向纵深发展、深入开展党风廉政建设和反腐败斗争，是代表、委员提出议案建议、提案的主要目的，也是中央纪委机关办理工作的出发点和落脚点。“在办理工作中我们意识到，办理不是简单地给当事人一个答复，更重要的是对其关注的问题切实予以解决，以实际行动积极回应关切。”该负责人表示，中央纪委机关在认真组织办理议案建议、提案的同时，每年还通过安排专门人员阅看两会会议简报、中央主要报纸网站等方式，梳理汇总代表、委员提出的意见建议，在全国两会闭幕后，即形成《两会期间人大代表、政协委员关于党风廉政建设和反腐败工作的意见建议》，以中央纪委办公厅文件形式印发，督促机关各单位结合纪检监察工作认真研究，发现带有普遍性、前瞻性的问题，提出解决对策和措施。比如，2017年，针对一些代表、委员对整治“村霸”和宗族恶势力的意见建议，中央纪委机关在整治损害群众利益不正之风和腐败问题工作中充分吸收这些建议，并在拓宽监督渠道、加强督办问责、强化通报曝光等方面做好有关工作。不松劲、不停步、再出发，新一届全国两会召开在即。中央纪委机关有关负责人表示，在过去五年的议案建议、提案办理中，中央纪委机关态度认真负责、工作严谨细致、答复客观实在，赢得了代表、委员和交办单位的认可。2017年9月，中央纪委机关再次荣获全国政协五年一评的“提案先进承办单位”荣誉称号。今后，将继续以对党和人民高度负责的态度，发扬求真务实的工作作风，做好议案建议、提案的办理工作，进一步提高办理质量，增强办理实效，推动全面从严治党向纵深发展、深入开展党风廉政建设和反腐败斗争。（原题为《中央纪委监察部机关认真办理议案提案 积极回应关切 去年32件议案建议提案已全部办结》）
西安新城区副区长王小辉涉嫌违纪违法，接受纪律审查监察调查,西安市新城区政府党组成员、副区长、西安市幸福路地区综合改造管委会副主任（兼）王小辉涉嫌违纪违法，目前正在接受纪律审查和监察调查。（原标题为《西安市新城区政府党组成员、副区长、西安市幸福路地区综合改造管委会副主任（兼）王小辉涉嫌违纪违法正在接受纪律审查和监察调查》）
山西省林业厅原副厅长常光明被开除党籍、降低退休待遇,日前，经山西省委批准，省纪委监委对省林业厅原党组成员、副厅长常光明严重违纪问题进行立案审查。经查，常光明违反组织纪律，不如实报告个人有关事项;违反廉洁纪律，收送礼金;违反工作纪律，不认真履行职责;违反国家法律法规规定，利用职务上的便利，在企业经营方面，为他人谋取利益并收受财物。常光明身为党员领导干部，本应牢记党的宗旨，遵纪守法，但其严重违反党的纪律和国家法律法规规定，情节严重，应予严肃处理。依据《中国共产党纪律处分条例》等有关规定，经省纪委监委会议研究并报省委批准，决定给予常光明开除党籍处分，按科员确定其退休待遇。常光明，男，汉族，1956年6月生，长治市郊区人，在职研究生学历，1971年12月参加工作，1976年3月加入中国共产党。1992年10月，任襄垣县委副书记;1996年4月，任壶关县委副书记、县长;1998年4月，任长子县委书记;2002年12月，任长治县委书记;2009年6月，任省林业厅党组成员、副厅长。2017年1月退休。（原题为《省林业厅原党组成员、副厅长常光明被开除党籍、降低退休待遇》）
提前退休的江苏警官学院原副院长倪兴余被开除党籍：对抗审查,据江苏省纪委消息：日前，经中共江苏省委批准，中共江苏省纪委对江苏警官学院原党委委员、副院长倪兴余严重违纪问题进行了立案审查。经查，倪兴余违反政治纪律，对抗组织审查；违反廉洁纪律，收受礼金、消费卡，违规任职取酬；违反生活纪律，与他人发生不正当性关系。利用职务上的便利为他人谋取利益并收受财物涉嫌受贿犯罪。此外，审查中还发现倪兴余其他涉嫌犯罪的线索。倪兴余身为党员领导干部，理想信念丧失，党员意识淡薄，严重违反党的纪律，并涉嫌违法犯罪，且在党的十八大后不收敛、不收手，性质恶劣，情节严重。依据《中国共产党纪律处分条例》等有关规定，经省纪委常委会会议研究并报省委常委会会议批准，决定给予倪兴余开除党籍处分，取消其退休待遇；收缴其违纪所得；将其涉嫌犯罪问题、线索及所涉款物移送司法机关依法处理。倪兴余，男，汉族，1959年2月出生，江苏靖江人，中央党校大学学历，1975年10月参加工作，1984年10月加入中国共产党。历任扬州市公安局政治处科员、团工委副书记、政治处副主任、治安科科长等职。1993年6月任扬州市公安局副局长；2007年3月任淮安市市长助理、市公安局党委书记、局长；2008年11月任淮安市副市长、市公安局党委书记、局长；2014年6月任镇江市副市长、市公安局党委书记、局长；2015年9月任江苏警官学院党委委员、副院长；2016年9月提前退休。（原标题为《江苏警官学院原副院长倪兴余被开除党籍》）
河北省检察院：5年立案侦查“小官巨贪”职务犯罪3199人,河北省十三届人大一次会议第二次全体会议1月27日上午在石家庄举行。河北省人民检察院代检察长丁顺生向大会作省人民检察院工作报告。丁顺生在报告中表示，五年以来，河北省人民检察院切实发挥惩治腐败犯罪主力军作用，坚持“老虎”“苍蝇”一起打，持续保持查办职务犯罪高压态势。坚决落实国家监察体制改革部署，扎实做好人员转隶、线索移交、配合衔接等工作，确保办案力度不减、节奏不变。他列举数据称，五年以来共立案侦查贪污贿赂、渎职侵权犯罪案件9485件14373人，立案人数同比上升22.6%，始终位居全国检察机关前列。其中，涉案金额千万元以上案件193件，副处级以上要案721人、同比上升1.6倍，为国家挽回经济损失48.3亿元、同比上升1.3倍。丁顺生还表示，过去五年中河北省人民检察院强化政治担当，集中力量查办最高检指定管辖案件。运用侦查一体化机制，依法承办最高检指定管辖案件585人，是全国最多的省份之一，其中副国级1人、省部级9人、厅局级77人。“辗转16个省（市、区）及境外取证，成功侦破苏荣家族式腐败窝案。从受贿20万线索查起到查获2.3亿元现金，一举查获魏鹏远案这一新中国成立以来检察机关一次起获赃款数额最大的案件。注重全面核实证据，促使刘铁男认罪悔罪，并成功深挖查出熊必琳、林秀山等11件重大贿赂犯罪案件。”此外，丁顺生还指出，五年以来河北省人民检察院坚持守土尽责，严肃查办省内职务犯罪案件。其中，聚焦重点领域、重点部位、立案侦查郑雪碧、刘学库、周杰、仲继安等省内职务犯罪大案要案6075件。立案侦查“小官巨贪”马超群案等侵害群众利益职务犯罪3199人，深入查办保护黑车超载、违规办理低保等群众反映强烈的渎职侵权犯罪969人。加大追逃追赃力度，成功抓获和敦促在逃职务犯罪嫌疑人78人归案，在党的十九大召开前后规劝“百名红通人员”黄红、贺俭回国归案。开启“智慧侦查”新模式，省检察院司法鉴定实验室通过手机数据恢复、音频视频鉴定、为侦破100多件疑难复杂案件锁定了证据。
深圳市发改委能源与循环经济处处长李镭涉嫌受贿被决定逮捕,日前，广东省人民检察院依法以涉嫌受贿罪对深圳市发展和改革委员会能源与循环经济处处长李镭（正处级）决定逮捕。案件侦查工作正在进行中。（原题为《广东省人民检察院依法对李镭决定逮捕》）
未如实说明函询情况，江西两名厅级干部被通报,“上饶市副厅级干部张某未如实向组织说明其兄张某某办企业的有关情况、抚州市副厅级干部刘某不认真说明任市卫生局副局长期间其亲属销售健康箱的有关情况……”谈话函询作为运用监督执纪“四种形态”的重要手段，体现组织对干部的关心信任、教育挽救，但仍有少数领导干部对此不当回事，心怀侥幸，隐瞒事实。2月2日，江西省纪委对2名接受组织函询未如实说明情况的厅级干部全省通报。去年7月，有群众反映上饶市副厅级干部张某在任市委常委、市政法委书记期间注册成立了一家公司，省纪委去函要求其说明情况。张某函复给予否认。经查询，其兄系该公司股东，省纪委要求张某进一步作出补充说明。张某称，其兄在该公司担任一名股东，但未就有关情况作进一步说明。后经抽查核实，其兄不仅是该公司的实际控制人，还是多家企业的实际控制人。对张某接受组织函询不认真、未如实向组织说明有关情况问题，今年1月5日，省纪委对其诫勉谈话，并责令其在民主生活会上作出深刻检查。去年3月，省纪委去函要求抚州市副厅级干部刘某就群众反映其在任市卫生局副局长期间，帮助妻侄王某强制推销健康箱并从中获利的问题作出说明。刘某函复给予否认。经抽查核实，群众反映问题属实。此前，抚州市纪委也就相同信访问题对其进行过函询，但刘某未如实说明情况。对此，去年12月22日，省纪委决定，责令刘某作出书面检查，并由抚州市政协主要负责同志对其批评谈话。“对待组织的态度，考验着党员领导干部的党性。”江西省纪委有关负责人表示，对函询和谈话不认真，把组织要求当儿戏，说明问题打马虎眼、避重就轻，欺骗组织、对抗组织，一而再再而三错失组织给的机会，就是错上加错。江西省纪委在通报中要求各级党组织要切实扛起管党治党政治责任，克服“好人主义”思想，从严教育管理干部。党委（党组）书记要认真负责地在函询说明上签字背书，不能一签了之、不管不问。要对谈话函询对象是否按照要求说明问题、是否说清了问题进行审核把关，发现问题要及时指出，让其重新作说明，把住第一道关口。对态度不端正或说明不到位的，要责令其作出补充说明或“二次谈话”。“要提高谈话函询的能力和质量，严格审批程序，防止谈话函询随意化宽泛化。让党员干部感到谈话函询是‘带牙’的，这样才能真正发挥谈话函询抓早抓小，防止由小错酿大错、小问题变大问题的教育作用。”江西省纪委有关负责人介绍，下一步将加大谈话函询的抽查力度，提高抽查比例。对不认真对待、敷衍塞责的，严肃批评教育，责令深刻检查；对边谈边犯、边函边犯的，从严从重处理。（原题为《未如实说明函询情况 江西两名厅级干部被通报》）
吉林一县安监局副局长不重视、不及时安排部署迎检工作被处分,近日，松原市纪委为深入贯彻落实习近平总书记关于进一步纠正“四风”、加强作风建设重要批示精神和省纪委《关于强化监督执纪问责切实推进政府系统作风建设的通知》要求，警示教育广大党员干部，持续释放坚决纠正“四风”特别是整治形式主义官僚主义不松劲、不停步、再出发的强烈信号，巩固作风建设成果，营造务实担当、真抓实干的良好氛围，对近期查处的4起形式主义官僚主义典型问题进行了通报。2014年10月至2016年9月，张志岭任长岭县委常委、副县长分管林业工作期间，谋事不严、履职不当、监管失责、工作不力，对国家保护和发展森林资源的决策部署不真抓实管，不认真履行监督检查职责，并且违背吉林省公检法涉林案件指导意见要求，擅自同意从轻处理严重毁坏林地违法行为，致使41起毁林案件涉案人员未被追究刑事责任，导致长岭县林业生态环境破坏问题愈演愈烈，造成仅2015年度长岭县林木损失就达1000余公顷。张志岭受到开除党籍、开除公职处分，其涉嫌犯罪问题线索移交司法机关依法处理。2017年9月，李贵彬临时主持县安监局全面工作期间，在迎接上级检查过程中不重视、不及时安排部署迎检工作，讲条件、探口风，脱延时间、逃避检查、推卸责任，致使检查工作不能顺利开展，造成严重不良影响。李贵彬受到党内严重警告处分。2017年年初，查干湖旅游风景区查干高娃广场、引松广场在未取得环保等审批手续情况下开工建设，其中引松广场现已投入使用。王利彬、李志辉身为监管人员责任缺失，既未督促建设单位办理相关审批手续，也未及时有效制止其违规建设行为，上述问题被群众举报投诉并由中央环保督察组受理督办，造成严重不良影响。宋奎受到党内严重警告处分，李志辉受到党内警告处分，王利彬被诫勉谈话。2016年4月，市住房公积金管理中心帮扶赠送三骏乡六家子村贫困户小尾寒羊33只，该村每户贫困户领取1只，剩余10只暂存代养在该乡敬老院。院长王子荣对暂存代养扶贫羊工作长期漠视不管，造成损失。王子荣受到党内严重警告处分。通报指出，4起形式主义官僚主义典型问题，违背党的性质和宗旨，侵害群众切身利益，影响党和政府形象，干部深恶痛绝、社会反映强烈，必须严肃处理。全市各级党委、政府和广大党员干部要从中汲取深刻教训，举一反三，引以为戒。通报要求，2017年12月1日，习近平总书记就纠正形式主义官僚主义作出重要批示，要求各地区各部门都要摆摆表现，找找差距，抓住主要矛盾，拿出过硬措施，扎扎实实整改。全市各级党组织要把整治形式主义官僚主义突出问题，列为“不忘初心牢记使命”主题教育、领导班子专题民主生活会和组织生活会、日常巡察、领导约谈、开展有关专项整治等方面工作的重点，查摆存在问题，彻底整改到位，不断巩固拓展落实中央八项规定精神成果。各级政府要围绕政风建设存在的突出问题认真组织开展自查自纠、明查暗访、专项整治，持续加大作风建设整治力度，洗涤荡清政风环境。各级纪检监察机关要进一步强化监督执纪问责，坚持问题导向，把纠治形式主义官僚主义突出问题列为廉政谈话、领导约谈、转办督办问题线索、执纪监督、执纪审查、通报曝光等方面工作的重点，发现一起、查处问责一起，决不姑息迁就。要在1月末之前，集中通报曝光一批形式主义、官僚主义方面的典型问题，推动全市作风转变，营造风清气正的政治生态。（原题为《松原市纪委通报4起形式主义官僚主义典型问题》）
