医生劝阻吸烟案、朱振彪追逃致死案写入最高法工作报告,3月9日，最高法院长周强在第十三届全国人民代表大会第一次会议上作工作报告，周强说，依法审理“医生电梯内劝阻吸烟案”“朱振彪追赶交通肇事逃逸者案”，让维护法律和公共利益的行为受到鼓励，让见义勇为者敢为，以公正裁判树立行为规则，引领社会风尚。澎湃新闻（www.thepaper.cn）此前报道，2017年5月2日，医生杨帆在电梯内劝阻老人吸烟引争辩，没想到老人随后猝死。随后，老人家属将杨帆诉至郑州市金水区人民法院，要求40万余元赔偿。2017年9月4日，郑州金水区法院一审判决双方分担损失。根据公平原则，法院酌定杨帆向死者家属补偿1.5万元。一审判决后，杨帆没有上诉，但他认为自己并无过错，认捐不认赔（补偿）。但老人家属上诉至郑州中院。郑州中院二审认为，老人自身患有心脏疾病，在未能控制自身情绪的情况下，心脏病发作不幸死亡，与杨帆劝阻行为没有法律上的因果关系。“杨帆对老人的死亡无法预见，也不存在疏忽或懈怠，没有过错。”法院认定，杨帆不应承担侵权责任。法院还认为，杨帆在电梯里劝阻吸烟合法正当，是自觉维护社会公共秩序和公共利益的行为，一审判令杨帆分担损失，让正当行使劝阻吸烟权利的公民承担补偿责任，将会挫伤公民依法维护社会公共利益的积极性，既是对社会公共利益的损害，也与民法的立法宗旨相悖，不利于促进社会文明，不利于引导公众共同创造良好的公共环境。另据法制晚报报道，2017年1月9日，唐山小伙朱振彪路过一起交通肇事现场，他追赶肇事逃逸者张永焕时，张站上火车道，被火车撞击身亡。朱振彪随后遭其家属索赔60余万元。2018年2月12日下午，河北唐山滦南县法院判决驳回原告张永焕家属的所有诉求，认定朱振彪的追赶行为与死者撞火车不具有法律上的因果关系。朱振彪的行为不具有违法性，而且属于见义勇为行为。此后，该案原告向唐山中院提起上诉，但后来又撤诉。
最高法：全国法院累计公开失信被执行人信息996.1万人次,五年以来，法院“基本解决执行难”取得重大进展，有9824人被法院以拒不执行判决裁定罪判罚。3月9日，最高法院长周强在第十三届全国人民代表大会第一次会议上作工作报告，周强说，过去五年间，各级法院共受理执行案件2224.6万件，执结2100万件，执行到位金额7万亿元，同比分别上升82.4%、74.4%和164.1%。 周强说，2016年3月，最高法在全国法院部署“用两到三年时间基本解决执行难”。地方各级党政机关高度重视执行工作，普遍将解决执行难纳入法治建设重点工作，有效形成解决执行难工作合力。周强表示，全国法院累计公开失信被执行人信息996.1万人次，限制1014.8万人次购买机票，限制391.2万人次乘坐动车和高铁，221.5万人慑于信用惩戒主动履行义务；加大对抗拒执行行为惩治力度，以拒不执行判决裁定罪判处罪犯9824人，“一处失信、处处受限”的信用惩戒格局初步形成，有力促进了社会诚信体系建设。同时，最高法还制定了财产保全等15个司法解释和规范执行行为“十个严禁”等33个指导性文件，对群众反映强烈的案件挂牌督办，切实解决消极执行、选择性执行等问题。 周强说，人民法院有效破解了查人找物和财产变现难题。与公安部、银监会等 10多个单位建立网络执行查控系统，通过信息化、网络化、自动化手段查控被执行人及其财产，共查询案件3910万件次，冻结款项2020.7亿元，极大提高了执行效率。同时，建立全国统一的网络司法拍卖平台。数据显示，上述平台自2017年3月上线以来，共进行网络拍卖36.9万次，成交额2545.3亿元，溢价率52%，为当事人节省佣金78 亿元，“在高风险的司法拍卖领域实现违纪违法零投诉。”周强说。
部长通道｜工商总局局长：本月16日我国市场主体将达1亿家,3月9日，国家工商总局局长张茅在经过人民大会堂“部长通道”接受采访时说，随着商事制度改革，我国市场主体大量增加，每天从三万多家增加到五万多家，企业数每天从五千多家增加到一万六千多家。预计在本月16日，我国市场主体包括企业，个体工商户、农村专业合作社的数量将达到一亿家。 张茅说，这说明我们国家经济发展的微观主体有了进一步发展，这对于增加就业，推动新旧动能转换，活跃经济，保持经济高质量增长，都将起到积极作用。有记者提问，今年政府工作报告中说要大幅缩短商标注册的周期，工商总局在这一方面到底会拿出一些什么样的实招？所谓的大幅缩短的大幅到底有多大？张茅称，我们国家商标的申请量每年大幅度增长，占整个世界商标申请量的80%，工作量非常大，压力也非常大。“去年经过努力，按照商标法，商标申请的周期从九个月压缩到了八个月，但是这对企业来说，仍然是一个时间比较长的。所以今年总理又提出这个要求，我们今年继续努力工作，进一步的解放思想、深化改革。”另外，利用技术进步来推进商标注册的便利化；加强管理，进一步简化商标注册的程序。“今年确定把现在商标注册的周期从八个月压缩到六个月，这样解决企业反映比较大的问题。下一步再进一步努力压缩周期。”
从反恐扫黑到打击非法疫苗，最高检报告连提17项专项工作,从反恐扫黑、打击涉医违法犯罪到整治涉众型集资行为，过去5年间，最高检接连开展了17项“专项”检察工作。专项工作往往针对某一领域的突出问题而开展，澎湃新闻（www.thepaper.cn）梳理今年全国两会上的最高人民检察院工作报告发现，上述专项工作大致分为打击犯罪与行使监督职责两类，涵盖了检察机关惩治犯罪与法律监督的职能。在专项行动中，检察机关透过处理“温岭杀医”、“昆明暴恐”、“非法疫苗”等重大案件，进一步维护了社会公平正义。过去五年间，反恐是检察机关的工作重点之一。曹建明在工作报告中说，检察机关积极投入严厉打击暴恐活动专项行动，从最高检和浙江、山东、广东等地检察机关多次选派业务骨干赴反恐一线指导、参与办案，北京、云南、新疆等地检察机关从快批捕起诉天安门“10·28”、昆明“3·01”、莎车“7·28”等一批重大暴恐案件。扫黑除恶也是当下政法机关正在推进的工作，曹建明说，过去5年检察机关深入推进扫黑除恶、缉枪治爆、禁毒扫黄等专项斗争，起诉刘汉、刘维等为非作歹、欺压百姓的黑社会性质组织犯罪8932人，立案侦查为黑恶势力充当“保护伞”的国家工作人员333人。 “2013年温岭杀医案发生后，立即部署打击涉医违法犯罪专项行动。”曹建明说，2014年起最高检又连续3年与公安部、国家卫生计生委等共同发布意见，坚决惩处涉医犯罪、维护医疗秩序，推进构建和谐医患关系。对暴力伤医案快速反应、挂牌督办。2016年以来共起诉故意伤害医务人员、在医院聚众滋事等犯罪7816人，天津、江苏、黑龙江等地检察机关从快批捕起诉苏英明、赵连生、齐洪生等暴力伤医案。金融安全关系到国家工作全局、经济社会发展大局和国家安全战略格局。习近平在十九大报告中指出，“健全金融监管体系，守住不发生系统性金融风险的底线”。“起诉破坏金融管理秩序、金融诈骗犯罪144万人，是前五年的2.2倍。”曹建明在报告中说，检察机关坚决防范和化解经济金融风险，积极投入互联网金融风险专项整治。曹建明说，检察机关突出惩治非法吸收公众存款、集资诈骗、传销等涉众型经济犯罪，起诉8.2万人，北京、上海、湖南等地检察机关依法妥善办理“e租宝”、“中晋系”、“善心汇”等重大案件；严厉打击证券期货领域犯罪，广东、山东、上海等地检察机关依法办理马乐案、徐翔案、伊世顿公司操纵期货市场案等重大案件，坚决维护经济金融安全。过去5年，检察机关还持续开展查办和预防发生在群众身边、损害群众利益职务犯罪专项工作。曹建明在工作报告中说，检察机关在涉农资金管理、征地拆迁、社会保障、扶贫等民生领域查办“蝇贪”62715人。此外，检察机关还会同国务院扶贫办部署为期5年的集中整治和加强预防扶贫领域职务犯罪专项工作，对易地扶贫搬迁重点工程开展预防监督，部署“精准扶贫、廉洁为民”专题警示教育基层行活动。与此同时，检察机关还坚持不懈开展职务犯罪国际追逃追赃。在中央纪委统一领导下，2014年10月起持续开展专项行动，与相关部门密切协作，加强与有关国家、地区司法合作，已从42个国家和地区劝返遣返、引渡外逃职务犯罪嫌疑人222人，包括杨秀珠、李华波、王国强、黄玉荣等35名“百名红通人员”。同时，检察机关与公安部、人民银行等共同开展预防打击利用离岸公司和地下钱庄转移赃款专项行动。检察机关对任润厚等45起职务犯罪嫌疑人逃匿、死亡案件及时启动没收违法所得程序。工程建设是反腐重点领域。曹建明在工作报告中会说，检察机关持续开展工程建设领域专项预防，提供行贿犯罪档案查询服务，推进社会诚信体系建设。环境、食药领域立案监督为守护绿水青山蓝天，检察机关连续4年开展了有关生态环境司法保护的专项立案监督工作。曹建明说，检察机关从严惩治污染大气、水源、土壤以及进口“洋垃圾”、非法占用耕地、破坏性采矿、盗伐滥伐林木等破坏环境资源犯罪，起诉13.7万人，较前五年上升59.3%。现场督办腾格里沙漠排污案、祁连山破坏环境资源案。曹建明称，检察机关与环保部、公安部共同推动环保领域行政执法与刑事司法衔接，挂牌督办垃圾跨省倾倒太湖西山案、静海坑塘污染案等64起重大案件。办理生态环境领域公益诉讼1.3万件，督促5972家企业整改，督促恢复被污染、破坏的耕地、林地、湿地、草原总面积14.3万公顷，索赔治理环境、修复生态等费用4.7亿元。同样，检察机关还在食药领域开展连续多年的专项立案监督。曹建明说，检察机关紧盯问题奶粉、地沟油、病死猪肉、非法疫苗等人民群众反映强烈的突出问题，连续4年开展专项立案监督，挂牌督办庞红卫等人非法经营疫苗系列案等986起重大案件；办理食品药品领域公益诉讼731件；起诉制售假药劣药、有毒有害食品等犯罪 6.3万人，是前五年的5.7倍。在民生保障领域，检察机关于2017年12月部署了农民工讨薪问题专项监督。曹建明说，至春节前，检察机关共支持5566名农民工提起诉讼，帮助追回劳动报酬4605万余元；同时向有关部门发出检察建议370份，督促依法履行职责，帮助2万余名农民工追索被拖欠的劳动报酬3.4亿元。刑罚执行监督也是过去5年检察机关工作的重要内容，曹建明说，检察机关开展核查纠正监外执行罪犯脱管漏管专项检察，对严重违反监管规定或监外执行条件消失的，监督收监执行1.5万人。此外，针对判处实刑罪犯未执行刑罚的突出问题，2016年最高检与公安部、司法部等共同开展专项清理，核查出11379人并逐一跟踪监督。现已监督纠正9222人，其中收监执行7162人。对仍逃匿或下落不明的1181人，督促开展追逃。与此同时，诉讼活动法律监督正在逐步加强。曹建明说，加强产权司法保护，检察机关专项部署涉产权刑事申诉案件清理，对赛格集团申诉案等21件案件依法甄别纠正。在民事行政诉讼领域，针对民间借贷、企业破产、房屋买卖、驰名商标认定等领域，为谋取不正当利益打“假官司”问题，开展虚假诉讼专项监督，重点监督“规模性造假”和中介服务机构“居间造假”，2016年以来共向人民法院提出抗诉或再审检察建议3877件，对构成犯罪的起诉452人。2014年10月，十二届全国人大常委会第十一次会议审议了“两高”规范司法行为工作情况报告。审议意见指出，“司法不规范现象依然较为突出，群众对司法不公等问题反映强烈”。曹建明说，检察机关认真贯彻全国人大常委会审议意见，2014年起连续4年开展规范司法行为专项整治，坚决纠正违法扣押冻结涉案财物、暴力取证、不依法听取当事人和律师意见等突出问题。最高人民检察院挂牌督办193起司法不规范案件，公开通报典型案例。颁布职务犯罪侦查工作八项禁令、指定居所监视居住监督规定、刑事诉讼涉案财物管理规定。修订完善检察机关司法工作基本规范，发布9批38个在审查证据、适用法律方面具有指导意义的典型案例，统一和规范办案标准。
国家工商总局局长：7月1日外商投资企业备案和发放执照合一,3月9日下午，国家工商总局局长张茅在经过人民大会堂“部长通道”，接受采访时透露，按照工作部署，今年7月1日，外商投资企业备案和发放营业执照合一，全国要统一实施。 张茅说，我国对改善营商环境高度重视，去年外商投资企业在持续增长，企业数量增长30%以上，现在外商投资企业领取营业执照有个备案程序，这对企业来说增加了时间成本。 张茅说，他们已和商务部共同协商，按照国务院要求，研究解决这个问题，已经对解决这项工作进行了部署。按照多证合一的要求，把外商投资企业的备案和发放营业执照合并到一起，填一份表格，到一个窗口，一次办理，让信息多跑路，企业少跑路。 按照工作部署，合一工作在今年7月1日，全国要统一实施。张茅说，在这之前，北京、广东等地，已经做了有益探索，有些地区可能上半年就会实施。这样就可以减轻企业负担，缩短企业进入市场时间，更好落实对中外企业一视同仁的政策。
两高报告再次齐提产权司法保护：同步审查张文中案、顾雏军案,产权司法保护再次同时写入“两高”报告。3月9日，最高法院院长周强、最高检察院检察长曹建明分别向第十三届全国人民代表大会第一次会议作工作报告。澎湃新闻（www.thepaper.cn）注意到，“两高”报告再度提到产权司法保护，要求依法甄别纠错。2017年12月28日，最高法决定启动再审3起重大涉产权案件，其中直接提审张文中案、顾雏军案。同时，最高检成立专门办案组，与最高法同步审查该两案，依法提出检察意见。 上述消息分别被写入今年的“两高”报告中，产权司法保护问题再度引发关注。党的十八大以来，习近平总书记多次作出重要指示，强调要加强产权保护制度建设，坚持有错必纠，甄别纠正一批侵害企业产权的错案冤案。2016年8月底，中共中央、国务院制定《关于完善产权保护制度依法保护产权的意见》（下称《意见》），要求妥善处理历史形成的产权案件，严格规范涉案财产处置的法律程序，审慎把握处理产权和经济纠纷的司法政策。为落实党中央意见要求，2016年12月，最高人民法院专门发布《关于依法妥善处理历史形成的产权案件工作实施意见》，对涉产权错案冤案甄别纠正工作作出具体部署。周强在工作报告中说，最高法出台加强产权司法保护17条意见，依法审理各类涉产权案件，从严惩治损害企业家、创业者合法权益和强买强卖、敲诈勒索等违法犯罪行为，坚决纠正涉产权冤错案件，平等保护各类市场主体合法权益。澎湃新闻观察到，这是5年来最高法第二次在报告中专门就产权司法保护问题进行表态。特别是从去年承诺 “依法纠正涉产权冤错案件”，到今年“提审3起重大涉产权案”，彰显了法院坚决纠错的决心。“要妥善处理历史形成的产权案件。”周强表示，2017年12月，最高人民法院决定再审3起重大涉产权案件，其中直接提审张文中案、顾雏军案。发布 7个保护产权典型案例。出台改善营商环境、平等保护非公有制经济等意见，制定保障企业家创新创业10条具体措施，发布10 个平等保护非公有制经济典型案例，依法保护企业家人身自由和财产权利，着力营造保护企业家干事创业的法治环境。 最高检则是5年来第三次在全国两会上的报告中提及了产权司法保护问题，并作出了具体阐述。“加强企业平等保护和产权司法保护。”曹建明说，在司法办案中重视完善公有制与非公有制经济平等保护的司法政策，坚持严格规范公正文明司法，坚持“三个慎重”，区分“五个界限”，最大限度减少对企业正常生产经营的影响。2017年1月，最高检发布《关于充分履行检察职能加强产权司法保护的意见》（下称《意见》），就加强产权司法保护提出明确要求。其中，《意见》明确规定，要准确把握法律政策界限，严格把握产权案件罪与非罪的界限标准，依法妥善处理历史形成的产权案件。曹建明说，2017年先后发布加强产权司法保护、依法保护企业家合法权益等政策文件，明确要求对企业因经营不规范引发的问题，严格遵循法不溯及既往、罪刑法定、从旧兼从轻等原则，已过追诉时效的不再追究，罪与非罪不清的按无罪处理。专项部署涉产权刑事申诉案件清理，对赛格集团申诉案等21件案件依法甄别纠正。最高人民检察院成立张文中案、顾雏军案专门办案组，与最高人民法院同步审查，依法提出检察意见。 曹建明表示，要坚持严格规范公正文明司法，包括坚持“三个慎重”和区分“五个界限”。“三个慎重”即慎重拘留逮捕企业管理者和关键岗位人员，确需拘留逮捕的，提前与涉案企业或主管部门沟通，帮助做好生产经营衔接工作；慎重查封扣押冻结涉案财物，避免引发或加剧企业经营风险；慎重考虑办案方式和时机，维护企业形象和声誉。“五个界限”即经济纠纷与经济犯罪的界限、改革探索出现偏差与钻改革空子实施犯罪的界限、合法经营收入与违法犯罪所得的界限、单位犯罪与个人犯罪的界限、不正当经济活动与违法犯罪的界限。
最高检：19地检察机关全面实行财物省级统管,"新华社北京3月9日电 记者9日从最高检获悉，全国已有北京、天津、山西等19个省区市检察机关全面实行财物省级统管。基层院作为省一级预算单位，省财政直接核定人员、办案、办公经费，年初纳入预算管理。从试点地区情况看，财物省级统管后经费保障刚性增强，保障水平趋向均衡。“随着新的财物管理机制逐步建立，市县检察院经费保障趋向持续稳定均衡，财物管理也更加科学规范，为检察机关依法独立公正行使检察权提供了有效的经费体制保障。”最高人民检察院计划财务装备局局长于洪滨表示。据介绍,推进省以下地方检察院财物统一管理改革，是一项重大改革任务,是保障检察权依法独立行使、进一步提高检务保障水平的重要举措。近年来各地检察机关贯彻落实中央部署，配合牵头部门开展改革试点，认真落实财物省级统管改革方案，联合相关部门制定出台财务管理、资产管理、基本建设管理和政府采购管理等配套制度，取得阶段性成效。于洪滨说，财物省级统管后，各地加强改革探索，不断完善各项规章制度，全面落实财物省级统管改革后预算、资产、账户、采购等管理要求，建立财物统管运行监管机制，财物管理规范化水平得到显著提升。（原题为《最高检：19地检察机关全面实行财物省级统管》）"
最高检：重视公益诉讼诉前程序，行政机关主动整改率明显提高,“能通过诉前程序解决的问题，尽量在诉前解决。”最高检副检察长张雪樵表示，检察机关更加注重诉前程序作用，将进一步加强检察公益诉讼诉前程序的诉讼化改造，“行政机关整改的积极性、主动性更好。”3月2日，最高人民法院、最高人民检察院联合发布《关于检察公益诉讼案件适用法律若干问题的解释》。澎湃新闻（www.thepaper.cn）注意到，上述《解释》第三部分针对行政公益诉讼内容作出专门细化，并对诉前程序作出调整：行政机关违法行使职权或不作为，致使国家利益或社会公共利益受到侵害的，检察机关应提出检察建议，督促其依法履行职责，行政机关应在两个月内作出书面回复。党的十八届四中全会部署了“探索建立检察机关提起公益诉讼制度”的改革任务，并确定由最高检和最高法共同牵头落实。2015年7月，全国检察机关开展为期两年的公益诉讼试点。数据显示，自2015年7月1日至2017年6月30日试点结束，全国法院共受理检察机关提起的公益诉讼案件1126件，审结938件。立法修改后，2017年7月至2018年1月，全国检察机关立案公益诉讼案件10565件。各地检察机关共办理诉前程序案件9497件，提起诉讼272件。“检察机关更加注重通过诉前程序发挥作用，行政机关整改的积极性、主动性更好，效果更好。”张雪樵表示，在行政公益诉讼诉前程序案件中，行政机关主动整改比例比试点期间明显提高，如山东达91.7%，安徽达89.4%，“能通过诉前程序解决的问题，尽量在诉前解决，总结推广‘诉前圆桌会议’‘诉前听证’等经验做法，加强诉前程序的诉讼化改造。”“试点实践证明，检察机关提起公益诉讼的诉前程序发挥了重要的作用，调动了其他适格主体保护公益的积极性，促进了行政机关纠正违法行为的主动性，有效节约了司法资源。”王松苗说，《解释》规定，在提起民事公益诉讼前，检察机关应当以公告的方式告知法律规定的机关和有关组织提起诉讼，并且规定检察机关已履行诉前公告程序的，人民法院立案后不再进行公告。在提起行政公益诉讼前，检察机关应当向行政机关提出检察建议，督促其依法履行职责，行政机关应当在两个月内依法履行职责，并书面回复。（原题为《最高检：重视公益诉讼诉前程序，行政机关主动整改率明显提高》）
最高法解读第一个专门面向知识产权审判的里程碑式文件,国新发布2月28日消息：今日，国务院新闻办举行新闻发布会，最高人民法院副院长陶凯元介绍《关于加强知识产权审判领域改革创新若干问题的意见》（以下简称《意见》）是党中央出台的第一个专门面向知识产权审判的里程碑式的纲领性文件，确立了新时代人民法院知识产权审判工作的指导思想、基本原则、改革目标和重点措施有关情况。陶凯元表示，《意见》是党中央出台的第一个专门面向知识产权审判的里程碑式的纲领性文件，确立了新时代人民法院知识产权审判工作的指导思想、基本原则、改革目标和重点措施，夯实了知识产权司法事业的理论、制度和组织基础，为新时代人民法院知识产权司法事业的发展描绘了宏伟蓝图，对于全面加快我国知识产权审判体系和审判能力现代化进程具有重大的现实意义和历史影响。创新是引领发展的第一动力，是建设现代化经济体系的战略支撑。作为对创新的产权制度安排和激励机制，知识产权制度是创新原动力的基本保障。司法是保护知识产权最有效、最根本、最权威的手段。《意见》将“树立保护知识产权就是保护创新的理念”作为指导思想的重要内容，将进一步激发全社会创新热情，推动大众创业和万众创新，不断增强我国经济的创新力和竞争力。全国人大常委会关于专利法、著作权法的执法检查报告指出，知识产权维权领域存在“举证难、赔偿低、周期长”等问题。《意见》坚持问题导向和目标导向，加强顶层设计，以完善知识产权诉讼制度为基础，以加强知识产权法院体系建设为重点，以加强知识产权审判队伍建设为保障，着力破解影响和制约知识产权司法保护的全局性、体制性、根本性问题，大力提升知识产权司法公信力。司法在知识产权保护中发挥主导作用，是司法本质属性和知识产权保护规律的内在要求，是全面推进依法治国的重要体现，是提升国际影响力的重要方式。《意见》的出台，将进一步强化知识产权司法保护的稳定性和导向性，为行业发展提供指引；将进一步强化知识产权司法保护的实效性和全面性，切实满足权利人的正当保护需求；将进一步强化知识产权司法保护的终局性和权威性，彰显法治精神。《意见》以审判体系现代化、审判能力现代化为两大抓手，积极构建资源优化、科学运行、高效权威的知识产权专门化审判体系，努力造就政治坚定、顾全大局、精通法律、熟悉技术并具有国际视野的知识产权审判队伍，更好地适应新时代知识产权司法事业的新要求新特点，努力将中国法院打造成当事人信赖的国际知识产权争端解决“优选地”。对于人民法院如何具体落实《意见》，陶凯元表示，（原题为《第一个专门面向知识产权审判的里程碑式文件出台 最高法解读》）
,
